genre,question_id,condition,correct,prediction,api_calls,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,2,chunked_sequential_rehearsal,False,8.4 million,4,9.3,1848,14,1862
wiki,8,chunked_sequential_rehearsal,False,Hans,4,11.9,1824,12,1836
wiki,6,chunked_sequential_rehearsal,True,Portuguese,4,12.4,1840,13,1853
wiki,4,chunked_sequential_rehearsal,False,Pleistocene,4,13.8,1892,14,1906
wiki,5,chunked_sequential_rehearsal,True,France,4,14.5,1836,11,1847
wiki,3,chunked_sequential_rehearsal,False,1690,4,60.8,1820,12,1832
wiki,7,chunked_sequential_rehearsal,True,Dutch East India Company,4,61.5,1820,15,1835
wiki,1,chunked_sequential_rehearsal,True,1898,4,62.6,1844,12,1856
wiki,10,chunked_sequential_rehearsal,True,Peter Stuyvesant,4,58.8,1832,15,1847
wiki,9,chunked_sequential_rehearsal,False,1626,4,61.7,1832,12,1844
wiki,15,chunked_sequential_rehearsal,False,9/11,4,10.0,1832,13,1845
wiki,11,chunked_sequential_rehearsal,False,New Amsterdam,4,60.5,1840,12,1852
wiki,16,chunked_sequential_rehearsal,True,Philadelphia,4,57.8,1852,11,1863
wiki,12,chunked_sequential_rehearsal,False,None,4,106.6,1860,11,1871
wiki,14,chunked_sequential_rehearsal,True,August 1776,4,59.6,1844,14,1858
wiki,13,chunked_sequential_rehearsal,False,,4,106.0,1832,26,1858
wiki,22,chunked_sequential_rehearsal,True,Megacity,1,2.8,257,3,260
wiki,20,chunked_sequential_rehearsal,False,1690,4,54.3,1840,12,1852
wiki,24,chunked_sequential_rehearsal,True,American Airlines Flight 11,4,6.9,1896,15,1911
wiki,17,chunked_sequential_rehearsal,True,1827,4,59.2,1840,12,1852
wiki,21,chunked_sequential_rehearsal,True,146,4,62.9,1844,11,1855
wiki,18,chunked_sequential_rehearsal,False,,4,113.2,1836,12,1848
wiki,19,chunked_sequential_rehearsal,False,No answer found,4,113.8,1860,13,1873
wiki,23,chunked_sequential_rehearsal,True,Abstract Expressionism,4,67.1,1856,13,1869
wiki,27,chunked_sequential_rehearsal,False,"Manhattan, Brooklyn, Staten",4,61.8,1844,16,1860
wiki,26,chunked_sequential_rehearsal,True,Donald Trump,4,62.1,1840,12,1852
wiki,25,chunked_sequential_rehearsal,False,,4,117.7,1844,12,1856
wiki,28,chunked_sequential_rehearsal,False,Hudson River,4,111.6,1836,13,1849
wiki,29,chunked_sequential_rehearsal,False,,4,58.6,1828,12,1840
wiki,30,chunked_sequential_rehearsal,False,,4,58.1,1872,12,1884
wiki,32,chunked_sequential_rehearsal,False,,4,57.8,1836,12,1848
wiki,31,chunked_sequential_rehearsal,False,Over 300,4,60.4,1852,13,1865
wiki,34,chunked_sequential_rehearsal,False,,4,58.6,1860,38,1898
wiki,36,chunked_sequential_rehearsal,False,45,4,7.5,1840,11,1851
wiki,33,chunked_sequential_rehearsal,False,Sewers,4,60.5,1872,13,1885
wiki,43,chunked_sequential_rehearsal,False,Hispanic,4,52.6,1836,12,1848
wiki,35,chunked_sequential_rehearsal,False,July 10,4,62.4,1840,13,1853
wiki,37,chunked_sequential_rehearsal,True,Minneapolis,4,61.6,1880,12,1892
wiki,41,chunked_sequential_rehearsal,False,,4,59.3,1824,12,1836
wiki,46,chunked_sequential_rehearsal,False,Unknown,4,5.5,1836,11,1847
wiki,44,chunked_sequential_rehearsal,True,12 million,4,6.7,1856,12,1868
wiki,38,chunked_sequential_rehearsal,False,,4,66.8,1836,12,1848
wiki,39,chunked_sequential_rehearsal,False,Tomb of Grant,4,64.4,1844,14,1858
wiki,40,chunked_sequential_rehearsal,False,Pelham Bay Park size not mentioned.,4,115.3,1832,18,1850
wiki,42,chunked_sequential_rehearsal,True,around 40%,4,112.5,1864,14,1878
wiki,48,chunked_sequential_rehearsal,False,No data.,4,54.3,1836,13,1849
wiki,49,chunked_sequential_rehearsal,True,Judaism,4,56.1,1836,13,1849
wiki,51,chunked_sequential_rehearsal,False,,4,59.4,1864,12,1876
wiki,45,chunked_sequential_rehearsal,False,No information available.,4,66.0,1852,14,1866
wiki,56,chunked_sequential_rehearsal,False,Manhattan,4,51.2,1824,12,1836
wiki,52,chunked_sequential_rehearsal,False,No answer found.,4,59.7,1828,14,1842
wiki,47,chunked_sequential_rehearsal,False,Jamaica,4,113.4,1852,13,1865
wiki,54,chunked_sequential_rehearsal,False,$39.4 billion,4,59.4,1860,15,1875
wiki,53,chunked_sequential_rehearsal,False,Bagels,4,62.0,1836,12,1848
wiki,57,chunked_sequential_rehearsal,False,66 million,4,58.3,1856,12,1868
