genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,3,gist_retrieval_adaptive,False,No information provided.,1,,0.2,174,5,179
wiki,2,gist_retrieval_adaptive,False,Not mentioned.,1,,0.5,245,4,249
wiki,4,gist_retrieval_adaptive,False,No information provided.,1,,0.3,192,5,197
wiki,1,gist_retrieval_adaptive,False,No specific year mentioned.,1,,0.5,180,6,186
wiki,5,gist_retrieval_adaptive,False,The French crown.,1,,0.3,178,5,183
wiki,6,gist_retrieval_adaptive,False,I don't have information about Estêvão Gomes.,1,,0.5,179,14,193
wiki,8,gist_retrieval_adaptive,False,I don't have that information.,1,,0.4,175,8,183
wiki,9,gist_retrieval_adaptive,False,1626.,1,,0.3,177,4,181
wiki,10,gist_retrieval_adaptive,True,Peter Stuyvesant.,1,,0.3,177,7,184
wiki,11,gist_retrieval_adaptive,True,New Orange.,1,,0.4,179,4,183
wiki,12,gist_retrieval_adaptive,False,No information provided.,1,,0.3,184,5,189
wiki,7,gist_retrieval_adaptive,True,The Dutch East India Company.,1,,8.3,174,7,181
wiki,14,gist_retrieval_adaptive,False,I don't have information about the passage regarding the Battle of Long Island.,1,,0.3,186,16,202
wiki,13,gist_retrieval_adaptive,True,1735.,1,,0.5,183,4,187
wiki,16,gist_retrieval_adaptive,True,Philadelphia.,1,,0.2,253,3,256
wiki,15,gist_retrieval_adaptive,False,The Stamp Act Congress.,1,,0.5,183,6,189
wiki,18,gist_retrieval_adaptive,False,No information provided.,1,,0.2,184,5,189
wiki,17,gist_retrieval_adaptive,True,1827.,1,,0.2,185,4,189
wiki,19,gist_retrieval_adaptive,False,Not specified.,1,,0.3,182,4,186
wiki,20,gist_retrieval_adaptive,False,No specific year mentioned.,1,,0.5,250,6,256
news,3,gist_retrieval_adaptive,False,No information provided.,1,,0.2,181,5,186
news,2,gist_retrieval_adaptive,False,An Australian soldier.,1,,0.4,434,5,439
news,4,gist_retrieval_adaptive,False,No information.,1,,0.2,176,4,180
news,1,gist_retrieval_adaptive,False,"Civilians, Taliban militants.",1,,0.3,431,8,439
news,5,gist_retrieval_adaptive,False,No information provided.,1,,0.4,176,5,181
news,6,gist_retrieval_adaptive,False,No information.,1,,0.3,240,4,244
news,8,gist_retrieval_adaptive,False,I don't have that information.,1,,0.3,176,8,184
news,9,gist_retrieval_adaptive,False,No information.,1,,0.2,241,4,245
news,7,gist_retrieval_adaptive,False,"I don't have information about the show ""Gulder Ultimate Search"".",1,,0.8,179,16,195
news,11,gist_retrieval_adaptive,False,Southern Afghanistan.,1,,0.4,690,4,694
news,14,gist_retrieval_adaptive,True,Three Chinese nationals.,1,,37.0,175,5,180
news,10,gist_retrieval_adaptive,False,Saturday.,1,,38.2,300,3,303
news,13,gist_retrieval_adaptive,False,No information.,1,,38.2,236,4,240
news,12,gist_retrieval_adaptive,False,Taliban militants.,1,,38.1,172,6,178
news,15,gist_retrieval_adaptive,False,"None, the passage does not mention this.",1,,5.2,184,10,194
news,17,gist_retrieval_adaptive,False,Restore full democracy in Pakistan.,1,,5.1,250,7,257
news,18,gist_retrieval_adaptive,False,Yes.,1,,5.3,298,3,301
news,16,gist_retrieval_adaptive,False,"Hugo Chavez, Alvaro Uribe, Evo Morales.",1,,5.3,541,14,555
news,19,gist_retrieval_adaptive,False,Unknown.,1,,2.2,175,3,178
news,20,gist_retrieval_adaptive,False,No information.,1,,2.3,363,4,367
novel,00950a36_2,gist_retrieval_adaptive,False,No city name mentioned.,1,,0.3,656,6,662
novel,00950a36_5,gist_retrieval_adaptive,True,Olivia.,1,,0.3,212,4,216
novel,00950a36_0,gist_retrieval_adaptive,True,Shah Amurath.,1,,2.9,722,7,729
novel,00950a36_1,gist_retrieval_adaptive,False,There is no information about Conan in the passage summaries.,1,,3.1,365,12,377
novel,00950a36_6,gist_retrieval_adaptive,False,I don't have enough information to answer that question.,1,,3.0,239,12,251
novel,00950a36_7,gist_retrieval_adaptive,False,No answer available.,1,,2.5,370,5,375
novel,00950a36_8,gist_retrieval_adaptive,False,I don't have that information.,1,,0.3,361,8,369
novel,00950a36_9,gist_retrieval_adaptive,False,The ground.,1,,0.2,235,4,239
novel,00950a36_10,gist_retrieval_adaptive,False,Shah Amurath,1,,0.4,679,6,685
novel,00950a36_11,gist_retrieval_adaptive,False,There is no information about Conan being made a captain in the passage summaries.,1,,0.3,400,16,416
novel,00950a36_12,gist_retrieval_adaptive,False,No city is mentioned.,1,,0.7,613,6,619
novel,00950a36_14,gist_retrieval_adaptive,False,A man.,1,,0.4,428,4,432
novel,00950a36_15,gist_retrieval_adaptive,False,No information.,1,,0.3,339,4,343
novel,3e966645_1,gist_retrieval_adaptive,False,There is no information about a ship or a country.,1,,0.6,401,12,413
novel,3e966645_4,gist_retrieval_adaptive,False,Nothing is mentioned.,1,,0.4,335,5,340
novel,00950a36_13,gist_retrieval_adaptive,True,Shah Amurath,1,,8.4,501,6,507
novel,3e966645_2,gist_retrieval_adaptive,False,There is no information about a very religious man in the passage summaries.,1,,8.3,608,15,623
novel,3e966645_5,gist_retrieval_adaptive,False,No information provided.,1,,0.3,295,5,300
novel,3e966645_6,gist_retrieval_adaptive,False,Sir Hugh.,1,,0.4,675,4,679
