genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,4,structural_map_extractive,False,No information provided.,2,True,0.6,1525,11,1536
wiki,5,structural_map_extractive,False,I don't have the information to answer your question.,2,True,7.3,1503,18,1521
wiki,2,structural_map_extractive,False,I don't have that information.,2,True,17.5,1483,14,1497
wiki,3,structural_map_extractive,False,No information provided.,2,True,19.5,1469,11,1480
wiki,1,structural_map_extractive,False,There is no information about the year the five boroughs were combined into one city in the passage.,2,True,24.1,1546,27,1573
wiki,7,structural_map_extractive,False,I don't have that information.,2,True,8.7,1466,14,1480
wiki,8,structural_map_extractive,False,I don't have that information.,2,True,13.3,1472,14,1486
wiki,9,structural_map_extractive,False,I don't have that information.,2,True,10.0,1472,14,1486
wiki,6,structural_map_extractive,True,Portuguese.,2,True,25.2,1485,11,1496
wiki,10,structural_map_extractive,False,I don't have that information.,2,True,11.4,1499,14,1513
wiki,13,structural_map_extractive,False,I don't have information about that.,2,True,7.3,1507,15,1522
wiki,14,structural_map_extractive,False,I don't have information about the question you asked.,2,True,7.8,1501,18,1519
wiki,15,structural_map_extractive,False,I don't have the information to answer that question.,2,True,4.6,1499,18,1517
wiki,12,structural_map_extractive,False,There is no information about this in the passage.,2,True,17.2,1563,16,1579
wiki,11,structural_map_extractive,False,No information is provided about Colve.,2,True,23.9,1511,15,1526
wiki,17,structural_map_extractive,False,No information provided.,2,True,5.6,1476,11,1487
wiki,16,structural_map_extractive,False,I don't have that information.,2,True,12.9,1517,14,1531
wiki,18,structural_map_extractive,False,I don't have information about the Erie Canal in the passage.,2,True,12.6,1509,19,1528
wiki,19,structural_map_extractive,False,No information provided.,2,True,20.2,1531,11,1542
wiki,21,structural_map_extractive,False,I don't have that information.,2,True,14.8,1481,14,1495
wiki,24,structural_map_extractive,False,I don't have information about that event in the passage provided.,2,True,4.0,1539,19,1558
wiki,22,structural_map_extractive,True,Megacity,2,True,20.0,1528,9,1537
wiki,20,structural_map_extractive,False,No information provided.,2,True,35.5,1530,11,1541
wiki,25,structural_map_extractive,False,I don't have information about a plane crashing into the World Trade Center in the passage provided.,2,True,10.2,1545,25,1570
wiki,23,structural_map_extractive,True,Abstract expressionism.,2,True,20.0,1542,11,1553
wiki,28,structural_map_extractive,False,No answer can be given as the information is not present in the passage.,2,True,3.9,1504,22,1526
wiki,26,structural_map_extractive,False,No information provided.,2,True,15.9,1547,11,1558
wiki,30,structural_map_extractive,False,I don't have information about that.,2,True,6.1,1527,15,1542
wiki,27,structural_map_extractive,False,"Manhattan, Staten, Long",2,True,16.2,1513,13,1526
wiki,29,structural_map_extractive,False,No information.,2,True,11.2,1515,10,1525
wiki,31,structural_map_extractive,False,I don't have that information.,2,True,10.3,1491,14,1505
wiki,33,structural_map_extractive,False,Water towers.,2,True,9.8,1497,10,1507
wiki,36,structural_map_extractive,True,49.9 inches.,2,True,9.0,1464,12,1476
wiki,34,structural_map_extractive,True,humid continental,2,True,21.8,1479,10,1489
wiki,32,structural_map_extractive,False,I don't have information about that.,2,True,26.5,1510,15,1525
wiki,38,structural_map_extractive,False,"26,000 acres.",2,True,6.6,1504,12,1516
wiki,37,structural_map_extractive,True,Minneapolis.,2,True,12.8,1505,10,1515
wiki,39,structural_map_extractive,False,I don't have that information.,2,True,15.0,1482,14,1496
wiki,41,structural_map_extractive,False,I don't have information about that.,2,True,6.3,1475,15,1490
wiki,42,structural_map_extractive,False,No information provided.,2,True,5.0,1497,11,1508
wiki,40,structural_map_extractive,True,"1,093 ha.",2,True,15.7,1458,12,1470
wiki,35,structural_map_extractive,False,I don't have that information.,2,True,47.2,1499,14,1513
wiki,44,structural_map_extractive,False,I can't answer that question. The passage does not mention Ellis Island.,2,True,7.5,1489,22,1511
wiki,45,structural_map_extractive,False,No information.,2,True,8.4,1496,10,1506
wiki,46,structural_map_extractive,False,No information.,2,True,7.4,1457,10,1467
wiki,43,structural_map_extractive,False,Central Asian.,2,True,19.3,1488,10,1498
wiki,47,structural_map_extractive,False,Dominican,2,True,11.7,1566,9,1575
wiki,49,structural_map_extractive,False,There is no information about the most prominent religion in the passage.,2,True,9.6,1518,20,1538
wiki,48,structural_map_extractive,False,No information is provided.,2,True,22.4,1481,12,1493
wiki,50,structural_map_extractive,False,I don't have that information.,2,True,19.3,1538,14,1552
wiki,51,structural_map_extractive,False,I don't have that information.,2,True,18.1,1497,14,1511
wiki,54,structural_map_extractive,False,No information provided.,2,True,5.1,1474,11,1485
wiki,53,structural_map_extractive,False,No information.,2,True,15.2,1468,10,1478
wiki,55,structural_map_extractive,False,No information provided.,2,True,10.3,1483,11,1494
wiki,52,structural_map_extractive,True,"180,000.",2,True,30.1,1452,11,1463
wiki,56,structural_map_extractive,False,I don't have information about Cornell Tech's location.,2,True,19.1,1503,18,1521
wiki,58,structural_map_extractive,False,I'm unable to answer that question based on the provided passage.,2,True,8.5,1542,20,1562
wiki,57,structural_map_extractive,False,No information is provided.,2,True,13.0,1587,12,1599
wiki,59,structural_map_extractive,False,I don't have that information.,2,True,13.8,1491,14,1505
wiki,61,structural_map_extractive,False,No information.,2,True,7.0,1454,10,1464
wiki,62,structural_map_extractive,False,No information.,2,True,6.5,1454,10,1464
wiki,63,structural_map_extractive,True,Manhattan Neighborhood Network.,2,True,7.4,1466,12,1478
wiki,60,structural_map_extractive,False,I don't have information about that.,2,True,17.8,1489,15,1504
wiki,65,structural_map_extractive,True,Nine.,2,True,19.3,1454,9,1463
wiki,66,structural_map_extractive,True,The New York Public Library.,2,True,15.8,1465,13,1478
wiki,64,structural_map_extractive,False,There is no information about that in the passage.,2,True,27.2,1505,17,1522
wiki,68,structural_map_extractive,False,No information provided.,2,True,8.5,1475,11,1486
wiki,69,structural_map_extractive,False,No information is given.,2,True,7.4,1465,12,1477
wiki,67,structural_map_extractive,False,No information is available about HHC patients.,2,True,27.8,1556,16,1572
wiki,73,structural_map_extractive,True,11 Metrotech Center.,2,True,4.6,1473,13,1486
wiki,72,structural_map_extractive,False,No information is given about a transportation system.,2,True,12.7,1558,16,1574
wiki,71,structural_map_extractive,False,New York City Fire Department.,2,True,15.2,1488,13,1501
wiki,70,structural_map_extractive,False,I don't have the information to answer the question.,2,True,22.6,1532,18,1550
wiki,76,structural_map_extractive,False,No information.,2,True,5.4,1501,10,1511
wiki,74,structural_map_extractive,True,The New York School.,2,True,11.2,1492,12,1504
wiki,75,structural_map_extractive,False,Many.,2,True,8.4,1486,9,1495
wiki,78,structural_map_extractive,False,No stadium in NYC.,2,True,9.9,1498,12,1510
wiki,77,structural_map_extractive,False,None.,2,True,22.5,1538,18,1556
wiki,80,structural_map_extractive,True,National Invitation Tournament,2,True,19.3,1474,10,1484
wiki,79,structural_map_extractive,True,Hockey.,2,True,22.0,1450,10,1460
wiki,81,structural_map_extractive,False,I don't have the information to answer this question.,2,True,17.0,1526,18,1544
wiki,83,structural_map_extractive,False,No information provided.,2,True,11.3,1493,11,1504
wiki,82,structural_map_extractive,False,No information provided.,2,True,13.6,1455,11,1466
wiki,84,structural_map_extractive,False,I don't have that information.,2,True,14.6,1483,14,1497
wiki,85,structural_map_extractive,False,No information is provided.,2,True,12.3,1488,12,1500
wiki,88,structural_map_extractive,False,There is no information.,2,True,7.8,1516,12,1528
wiki,87,structural_map_extractive,False,There is no information about a tunnel in the passage.,2,True,12.7,1529,18,1547
wiki,86,structural_map_extractive,False,I don't have that information.,2,True,15.2,1523,14,1537
wiki,92,structural_map_extractive,False,No information is provided.,2,True,4.1,1530,12,1542
wiki,91,structural_map_extractive,False,I don't have that information.,2,True,8.4,1477,14,1491
wiki,90,structural_map_extractive,True,51 council members.,2,True,11.2,1458,11,1469
wiki,93,structural_map_extractive,False,New York Public Library.,2,True,10.2,1493,12,1505
wiki,89,structural_map_extractive,False,There is no information about the source of New York's drinking water in the passage.,2,True,32.5,1477,24,1501
wiki,95,structural_map_extractive,False,No answer available.,2,True,21.1,1475,11,1486
wiki,96,structural_map_extractive,False,I don't have information about that.,2,True,14.8,1465,15,1480
wiki,94,structural_map_extractive,False,I don't have that information.,2,True,27.1,1476,14,1490
wiki,98,structural_map_extractive,True,The west end.,2,True,5.5,1507,11,1518
wiki,99,structural_map_extractive,False,I don't have the information to answer your question.,2,True,8.0,1492,18,1510
wiki,97,structural_map_extractive,False,Entertainment.,2,True,17.1,1473,10,1483
wiki,100,structural_map_extractive,True,"I don't have that information. 

However, I can answer the question that was asked: 

The Eastern District of New York.",2,True,9.9,1483,34,1517
news,2,structural_map_extractive,False,No one mentioned.,2,True,4.7,5080,11,5091
news,3,structural_map_extractive,False,No information.,2,True,9.5,5106,10,5116
news,5,structural_map_extractive,False,No information.,2,True,6.0,5131,10,5141
news,4,structural_map_extractive,False,No.,2,True,14.3,5117,9,5126
news,1,structural_map_extractive,False,"Ethiopian troops, insurgents, civilians, children.",2,True,6.3,5220,505,5725
news,6,structural_map_extractive,False,Sixth,2,True,6.1,5163,9,5172
news,8,structural_map_extractive,False,I don't have that information.,2,True,8.0,5132,14,5146
news,10,structural_map_extractive,False,Saturday.,2,True,17.7,5098,9,5107
news,7,structural_map_extractive,False,I don't have that information.,2,True,24.9,5111,14,5125
news,11,structural_map_extractive,False,Uruzgan province.,2,True,15.4,5083,11,5094
news,9,structural_map_extractive,False,There is no mention of the President's powers being transferred.,2,True,28.2,5248,19,5267
news,13,structural_map_extractive,False,"July 7, 2005.",2,True,9.5,5152,21,5173
news,14,structural_map_extractive,False,No information is given.,2,True,10.1,5080,13,5093
news,12,structural_map_extractive,False,Sadler,2,True,21.7,5088,10,5098
news,15,structural_map_extractive,False,No source is mentioned.,2,True,13.1,5097,12,5109
news,17,structural_map_extractive,False,No information.,2,True,10.6,5087,10,5097
news,16,structural_map_extractive,False,"Iran, Russia, Kazakhstan, Turkmenistan, and Azerbaijan.",2,True,11.7,5099,121,5220
news,19,structural_map_extractive,False,No information is given about Inter.,2,True,5.4,5182,14,5196
news,22,structural_map_extractive,False,I don't have that information.,2,True,5.0,5083,13,5096
news,21,structural_map_extractive,False,There is no information about a copter.,2,True,7.1,5200,16,5216
news,23,structural_map_extractive,False,Islamabad.,2,True,2.4,5076,10,5086
news,24,structural_map_extractive,False,No information.,2,True,7.6,5091,10,5101
news,20,structural_map_extractive,False,No information provided.,2,True,15.6,5107,11,5118
news,25,structural_map_extractive,False,Tarin Kowt incident.,2,True,15.4,5099,16,5115
news,27,structural_map_extractive,False,There is no information about this in the passage.,2,True,4.5,5152,17,5169
news,18,structural_map_extractive,False,Yes.,2,True,8.3,5138,656,5794
news,26,structural_map_extractive,False,No information.,2,True,21.6,5111,10,5121
news,28,structural_map_extractive,False,No information.,2,True,11.2,5082,10,5092
news,30,structural_map_extractive,False,No information provided.,2,True,9.0,5105,11,5116
news,29,structural_map_extractive,False,Barcelona,2,True,17.0,5124,9,5133
news,33,structural_map_extractive,False,he,2,True,3.3,5080,8,5088
news,31,structural_map_extractive,False,No information provided.,2,True,14.0,5091,11,5102
news,34,structural_map_extractive,False,There is no mention of this in the passage.,2,True,8.4,5108,17,5125
news,35,structural_map_extractive,False,No information.,2,True,9.9,5112,10,5122
news,37,structural_map_extractive,False,The Israeli military.,2,True,3.2,5104,12,5116
news,32,structural_map_extractive,False,No information provided.,2,True,20.3,5119,11,5130
news,36,structural_map_extractive,False,No information.,2,True,10.9,5136,11,5147
news,40,structural_map_extractive,False,Lined up to empty accounts.,2,True,17.1,5102,14,5116
news,39,structural_map_extractive,False,Dida,2,True,20.9,5161,9,5170
news,42,structural_map_extractive,False,Unknown.,2,True,4.5,5091,9,5100
news,38,structural_map_extractive,False,Airmen.,2,True,29.2,5089,11,5100
news,43,structural_map_extractive,False,Nonbinding resolution.,2,True,8.3,5106,11,5117
news,41,structural_map_extractive,True,Search and rescue crews.,2,True,29.7,5134,12,5146
news,45,structural_map_extractive,False,There is no Majority Leader mentioned.,2,True,10.8,5085,14,5099
news,44,structural_map_extractive,False,Foreign policy.,2,True,15.7,5076,10,5086
news,46,structural_map_extractive,True,Tech International,2,True,14.7,5092,9,5101
news,49,structural_map_extractive,False,Support personnel.,2,True,5.1,5109,10,5119
