genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,1,full_context_rehearsal_lookup_adaptive,True,1898.,2,True,4.4,7767,10,7777
wiki,3,full_context_rehearsal_lookup_adaptive,True,1624.,2,True,4.9,7881,10,7891
wiki,4,full_context_rehearsal_lookup_adaptive,False,Wisconsinan glaciation.,2,True,25.0,7952,13,7965
wiki,2,full_context_rehearsal_lookup_adaptive,True,"8,491,079",2,True,42.2,14414,330,14744
wiki,5,full_context_rehearsal_lookup_adaptive,False,The French crown.,2,True,34.7,7968,11,7979
wiki,6,full_context_rehearsal_lookup_adaptive,True,Portuguese.,2,True,37.5,7970,11,7981
wiki,8,full_context_rehearsal_lookup_adaptive,True,Jan Rodrigues.,2,True,1.4,8019,11,8030
wiki,9,full_context_rehearsal_lookup_adaptive,True,1625,2,True,1.5,8023,9,8032
wiki,10,full_context_rehearsal_lookup_adaptive,True,Peter Stuyvesant.,2,True,1.1,7989,13,8002
wiki,7,full_context_rehearsal_lookup_adaptive,True,The Dutch East India Company.,2,True,44.0,7941,13,7954
wiki,11,full_context_rehearsal_lookup_adaptive,True,New Orange.,2,True,4.9,7993,10,8003
wiki,12,full_context_rehearsal_lookup_adaptive,True,Second Anglo-Dutch War.,2,True,4.5,14420,331,14751
wiki,14,full_context_rehearsal_lookup_adaptive,True,August 1776.,2,True,1.7,8016,12,8028
wiki,13,full_context_rehearsal_lookup_adaptive,True,1735,2,True,3.1,8010,9,8019
wiki,15,full_context_rehearsal_lookup_adaptive,True,The Great Fire of New York.,2,True,1.4,7982,14,7996
wiki,16,full_context_rehearsal_lookup_adaptive,True,Philadelphia.,2,True,1.8,8118,9,8127
wiki,18,full_context_rehearsal_lookup_adaptive,True,1825,2,True,1.0,7970,9,7979
wiki,19,full_context_rehearsal_lookup_adaptive,True,25%,2,True,1.1,7912,9,7921
wiki,17,full_context_rehearsal_lookup_adaptive,True,1827,2,True,4.3,14410,327,14737
wiki,20,full_context_rehearsal_lookup_adaptive,True,1898.,2,True,3.2,8077,10,8087
news,2,full_context_rehearsal_lookup_adaptive,False,"One Australian soldier, three civilians and Taliban militants.",1,False,2.0,24870,11,24881
news,5,full_context_rehearsal_lookup_adaptive,False,AC Milan,1,False,2.9,24872,3,24875
news,6,full_context_rehearsal_lookup_adaptive,False,6th,1,False,4.9,24870,3,24873
news,7,full_context_rehearsal_lookup_adaptive,False,Guinness,1,False,3.5,24875,3,24878
news,8,full_context_rehearsal_lookup_adaptive,False,television survival show,1,False,3.0,24872,5,24877
news,4,full_context_rehearsal_lookup_adaptive,False,Yes.,2,True,3.4,25867,12,25879
news,3,full_context_rehearsal_lookup_adaptive,False,Michio Kanda.,2,True,4.8,25602,12,25614
news,9,full_context_rehearsal_lookup_adaptive,False,Colonoscopy.,1,False,2.2,24881,5,24886
news,10,full_context_rehearsal_lookup_adaptive,False,"September 13, 2007.",1,False,9.7,24874,9,24883
news,11,full_context_rehearsal_lookup_adaptive,False,South Africa,1,False,8.8,24868,3,24871
