genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
novel,00950a36_2,maintenance_extractive_dynamic_novel_w1_pilot,False,Vilayet,1,,0.4,1579,4,1583
novel,00950a36_5,maintenance_extractive_dynamic_novel_w1_pilot,False,She.,1,,0.3,462,3,465
novel,00950a36_0,maintenance_extractive_dynamic_novel_w1_pilot,True,Shah Amurath.,1,,0.3,1743,7,1750
novel,00950a36_1,maintenance_extractive_dynamic_novel_w1_pilot,True,Olivia.,1,,0.8,767,4,771
novel,00950a36_6,maintenance_extractive_dynamic_novel_w1_pilot,False,"There is no mention of ""Queen of the Blue Sea"".",1,,0.4,510,13,523
novel,00950a36_7,maintenance_extractive_dynamic_novel_w1_pilot,True,Conan.,1,,0.3,839,4,843
novel,00950a36_8,maintenance_extractive_dynamic_novel_w1_pilot,True,Olivia.,1,,0.4,770,4,774
novel,00950a36_9,maintenance_extractive_dynamic_novel_w1_pilot,False,His.,1,,0.3,489,3,492
novel,00950a36_10,maintenance_extractive_dynamic_novel_w1_pilot,True,Conan.,1,,0.3,1827,4,1831
novel,00950a36_11,maintenance_extractive_dynamic_novel_w1_pilot,False,No one.,1,,0.2,980,4,984
novel,00950a36_13,maintenance_extractive_dynamic_novel_w1_pilot,True,Shah Amurath and his warriors.,1,,0.6,1240,10,1250
novel,00950a36_12,maintenance_extractive_dynamic_novel_w1_pilot,False,No answer available.,1,,0.6,1466,5,1471
novel,00950a36_14,maintenance_extractive_dynamic_novel_w1_pilot,False,A huge block of greenish stone.,1,,0.3,959,9,968
novel,00950a36_15,maintenance_extractive_dynamic_novel_w1_pilot,True,Conan.,1,,0.2,830,4,834
novel,3e966645_1,maintenance_extractive_dynamic_novel_w1_pilot,True,Peru.,1,,0.2,997,4,1001
novel,3e966645_2,maintenance_extractive_dynamic_novel_w1_pilot,False,Mr. Clavering.,1,,0.8,1512,7,1519
novel,3e966645_5,maintenance_extractive_dynamic_novel_w1_pilot,False,Disease.,1,,0.2,617,4,621
novel,3e966645_4,maintenance_extractive_dynamic_novel_w1_pilot,False,Coffee.,1,,0.4,910,3,913
novel,3e966645_6,maintenance_extractive_dynamic_novel_w1_pilot,False,Shah Amurath.,1,,0.5,2090,7,2097
novel,3e966645_7,maintenance_extractive_dynamic_novel_w1_pilot,False,Brown.,1,,0.3,474,3,477
novel,3e966645_8,maintenance_extractive_dynamic_novel_w1_pilot,True,Papeete.,1,,0.4,1069,5,1074
novel,3e966645_10,maintenance_extractive_dynamic_novel_w1_pilot,True,Champagne.,1,,0.3,614,5,619
novel,3e966645_9,maintenance_extractive_dynamic_novel_w1_pilot,False,French Polynesia.,1,,0.4,689,6,695
novel,3e966645_11,maintenance_extractive_dynamic_novel_w1_pilot,False,Peru.,1,,0.4,757,4,761
novel,3e966645_12,maintenance_extractive_dynamic_novel_w1_pilot,True,Smallpox.,1,,0.4,997,5,1002
novel,3e966645_17,maintenance_extractive_dynamic_novel_w1_pilot,False,The town.,1,,0.3,611,4,615
novel,3e966645_16,maintenance_extractive_dynamic_novel_w1_pilot,True,California champagne.,1,,0.5,261,4,265
novel,3e966645_20,maintenance_extractive_dynamic_novel_w1_pilot,True,California champagne.,1,,0.4,272,4,276
novel,3e966645_19,maintenance_extractive_dynamic_novel_w1_pilot,False,Robert Herrick.,1,,0.3,991,5,996
novel,3e966645_21,maintenance_extractive_dynamic_novel_w1_pilot,False,Brown.,1,,0.3,1136,3,1139
novel,6a659de3_3,maintenance_extractive_dynamic_novel_w1_pilot,False,"The Princess, Dorothy, Glinda, and the Wizard.",1,,51.9,317,13,330
novel,3e966645_23,maintenance_extractive_dynamic_novel_w1_pilot,False,None.,1,,52.4,584,3,587
novel,6a659de3_2,maintenance_extractive_dynamic_novel_w1_pilot,False,Glinda the Good.,1,,51.7,647,6,653
novel,3e966645_22,maintenance_extractive_dynamic_novel_w1_pilot,False,Papeete.,1,,53.1,292,5,297
novel,6a659de3_4,maintenance_extractive_dynamic_novel_w1_pilot,True,Leo Vincey.,1,,0.3,451,5,456
novel,6a659de3_5,maintenance_extractive_dynamic_novel_w1_pilot,False,The narrator.,1,,0.3,859,4,863
novel,6a659de3_6,maintenance_extractive_dynamic_novel_w1_pilot,False,A white woman of peculiar loveliness.,1,,0.3,953,10,963
novel,6a659de3_7,maintenance_extractive_dynamic_novel_w1_pilot,False,Egypt.,1,,0.3,1106,3,1109
novel,6a659de3_8,maintenance_extractive_dynamic_novel_w1_pilot,False,The narrator.,1,,0.3,1089,4,1093
novel,6a659de3_11,maintenance_extractive_dynamic_novel_w1_pilot,False,The narrator.,1,,0.4,758,4,762
novel,6a659de3_12,maintenance_extractive_dynamic_novel_w1_pilot,False,The narrator.,1,,0.3,1006,4,1010
novel,6a659de3_14,maintenance_extractive_dynamic_novel_w1_pilot,False,Harry Clavering.,1,,0.7,794,6,800
novel,6a659de3_17,maintenance_extractive_dynamic_novel_w1_pilot,False,No one.,1,,0.3,839,4,843
novel,9561a72a_0,maintenance_extractive_dynamic_novel_w1_pilot,True,Aunt Em and Uncle Henry.,1,,0.3,1108,8,1116
novel,9561a72a_1,maintenance_extractive_dynamic_novel_w1_pilot,False,Ozma.,1,,0.3,1867,5,1872
novel,9561a72a_3,maintenance_extractive_dynamic_novel_w1_pilot,False,Cumberly Green.,1,,0.2,1967,6,1973
novel,9561a72a_5,maintenance_extractive_dynamic_novel_w1_pilot,True,Aunt Em and Uncle Henry.,1,,0.3,1841,8,1849
novel,9561a72a_7,maintenance_extractive_dynamic_novel_w1_pilot,True,Underground.,1,,0.5,1147,4,1151
novel,9561a72a_9,maintenance_extractive_dynamic_novel_w1_pilot,False,Uncle Henry and Aunt Em.,1,,0.4,952,8,960
novel,9561a72a_10,maintenance_extractive_dynamic_novel_w1_pilot,True,The Magic Belt.,1,,0.5,1190,5,1195
novel,9561a72a_11,maintenance_extractive_dynamic_novel_w1_pilot,True,King Roquat the Red.,1,,0.4,1589,7,1596
novel,9561a72a_12,maintenance_extractive_dynamic_novel_w1_pilot,True,General Guph.,1,,0.4,1518,6,1524
novel,bf55d1c1_0,maintenance_extractive_dynamic_novel_w1_pilot,True,A mongoose.,1,,0.3,814,4,818
novel,bf55d1c1_1,maintenance_extractive_dynamic_novel_w1_pilot,False,No information is given about Arabella murdering anyone.,1,,0.3,237,11,248
novel,bf55d1c1_2,maintenance_extractive_dynamic_novel_w1_pilot,True,Adam.,1,,0.2,396,3,399
novel,bf55d1c1_3,maintenance_extractive_dynamic_novel_w1_pilot,False,Snakes.,1,,0.3,1174,4,1178
novel,bf55d1c1_4,maintenance_extractive_dynamic_novel_w1_pilot,False,Not mentioned.,1,,0.4,623,4,627
novel,bf55d1c1_6,maintenance_extractive_dynamic_novel_w1_pilot,False,Black snakes.,1,,0.3,852,4,856
novel,bf55d1c1_5,maintenance_extractive_dynamic_novel_w1_pilot,False,The Nome King.,1,,0.4,1110,5,1115
novel,bf55d1c1_9,maintenance_extractive_dynamic_novel_w1_pilot,False,Twenty years ago.,1,,0.3,515,5,520
novel,bf55d1c1_12,maintenance_extractive_dynamic_novel_w1_pilot,False,Sydney.,1,,51.8,274,4,278
novel,ca4b98f5_0,maintenance_extractive_dynamic_novel_w1_pilot,False,None given.,1,,51.9,444,4,448
novel,bf55d1c1_11,maintenance_extractive_dynamic_novel_w1_pilot,False,Uncle.,1,,52.6,310,4,314
novel,bf55d1c1_10,maintenance_extractive_dynamic_novel_w1_pilot,False,Mr. Caswall.,1,,53.1,505,6,511
novel,ca4b98f5_1,maintenance_extractive_dynamic_novel_w1_pilot,False,Not specified.,1,,0.6,333,4,337
novel,ca4b98f5_2,maintenance_extractive_dynamic_novel_w1_pilot,True,Messrs. Beilby and Burton.,1,,0.4,762,10,772
novel,ca4b98f5_3,maintenance_extractive_dynamic_novel_w1_pilot,False,The great house.,1,,0.4,238,5,243
novel,ca4b98f5_4,maintenance_extractive_dynamic_novel_w1_pilot,False,Not mentioned.,1,,0.3,313,4,317
novel,ca4b98f5_6,maintenance_extractive_dynamic_novel_w1_pilot,False,No one.,1,,0.3,441,4,445
novel,ca4b98f5_10,maintenance_extractive_dynamic_novel_w1_pilot,False,The fox.,1,,0.4,448,4,452
novel,ca4b98f5_12,maintenance_extractive_dynamic_novel_w1_pilot,False,Mr. Burton,1,,0.3,314,4,318
novel,ca4b98f5_8,maintenance_extractive_dynamic_novel_w1_pilot,False,His sisters.,1,,0.3,1654,4,1658
novel,ca4b98f5_11,maintenance_extractive_dynamic_novel_w1_pilot,False,Lord Ongar.,1,,0.6,2776,6,2782
novel,ca4b98f5_13,maintenance_extractive_dynamic_novel_w1_pilot,False,L. Horace Holly.,1,,0.3,843,7,850
novel,ca4b98f5_15,maintenance_extractive_dynamic_novel_w1_pilot,False,Fanny,1,,0.2,272,3,275
novel,ca4b98f5_16,maintenance_extractive_dynamic_novel_w1_pilot,False,His sisters.,1,,0.2,1234,4,1238
novel,ca4b98f5_17,maintenance_extractive_dynamic_novel_w1_pilot,False,Julia.,1,,0.3,657,4,661
novel,ca4b98f5_14,maintenance_extractive_dynamic_novel_w1_pilot,False,Clergyman.,1,,0.5,991,6,997
novel,ca4b98f5_18,maintenance_extractive_dynamic_novel_w1_pilot,False,Julia Brabazon.,1,,0.4,1098,7,1105
