genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,4,maintenance_extractive_combined,False,Wisconsinan glaciation.,1,,0.2,165,7,172
wiki,1,maintenance_extractive_combined,False,No information provided.,1,,0.3,156,5,161
wiki,3,maintenance_extractive_combined,True,1624,1,,0.3,149,3,152
wiki,2,maintenance_extractive_combined,True,"8,491,079",1,,0.2,225,6,231
wiki,5,maintenance_extractive_combined,False,The French crown.,1,,0.2,167,5,172
wiki,6,maintenance_extractive_combined,True,Portuguese,1,,0.3,182,4,186
wiki,7,maintenance_extractive_combined,True,The Dutch East India Company.,1,,0.2,170,7,177
wiki,8,maintenance_extractive_combined,True,Jan Rodrigues.,1,,0.2,149,5,154
wiki,10,maintenance_extractive_combined,True,Peter Stuyvesant.,1,,0.3,152,7,159
wiki,9,maintenance_extractive_combined,False,I don't have that information.,1,,0.3,166,8,174
wiki,11,maintenance_extractive_combined,True,New Orange,1,,0.2,166,3,169
wiki,12,maintenance_extractive_combined,True,The Second Anglo-Dutch War.,1,,0.3,161,8,169
wiki,14,maintenance_extractive_combined,True,August 1776.,1,,0.2,153,6,159
wiki,13,maintenance_extractive_combined,True,1735,1,,0.3,144,3,147
wiki,15,maintenance_extractive_combined,False,The American Revolutionary War.,1,,0.2,160,6,166
wiki,16,maintenance_extractive_combined,True,Philadelphia.,1,,0.4,143,3,146
wiki,17,maintenance_extractive_combined,False,1799,1,,0.4,160,3,163
wiki,19,maintenance_extractive_combined,False,I don't have the information to answer this question.,1,,0.4,164,12,176
wiki,18,maintenance_extractive_combined,False,I don't have that information.,1,,0.5,213,8,221
wiki,20,maintenance_extractive_combined,True,1898,1,,0.2,213,3,216
wiki,22,maintenance_extractive_combined,True,Megacity.,1,,0.3,151,4,155
wiki,23,maintenance_extractive_combined,True,Abstract expressionism.,1,,45.7,171,5,176
wiki,21,maintenance_extractive_combined,False,No information provided.,1,,45.9,150,5,155
wiki,25,maintenance_extractive_combined,False,No information is given about the plane's name.,1,,45.1,154,11,165
wiki,24,maintenance_extractive_combined,False,No information provided.,1,,45.8,167,5,172
wiki,28,maintenance_extractive_combined,False,The East River.,1,,0.2,143,5,148
wiki,26,maintenance_extractive_combined,True,Donald Trump.,1,,0.2,161,4,165
wiki,29,maintenance_extractive_combined,False,Not specified.,1,,0.2,237,4,241
wiki,27,maintenance_extractive_combined,False,"Manhattan, Staten, and Long.",1,,0.2,234,9,243
wiki,32,maintenance_extractive_combined,False,No information.,1,,0.3,155,4,159
wiki,31,maintenance_extractive_combined,True,550,1,,1.1,186,2,188
wiki,33,maintenance_extractive_combined,False,Setbacks.,1,,1.2,162,4,166
