question_id,question,answer,evidence_char_pos,evidence_word_pos,source_title,type
1,What specifically dates back with Confucius in the 6th century BC?,Chinese political philosophy,0,1,Political_philosophy,squad_extractive
2,Chinese political philosophy dates back to what century?,6th century BC,108,17,Political_philosophy,squad_extractive
3,Chinese political philosophy was developed as a response to what?,the social and political breakdown of the country,184,29,Political_philosophy,squad_extractive
4,"What advocated a communal, decentralized government centered on frugality and ascetism?",Mohism,835,116,Political_philosophy,squad_extractive
5,What philosophy has dates back to at least Plato?,philosophy of ancient Greece,1344,186,Political_philosophy,squad_extractive
6,Western political philosophy originates in what philosophy?,ancient Greece,1358,188,Political_philosophy,squad_extractive
7,Ancient Greece was dominated by what?,city-states,1463,204,Political_philosophy,squad_extractive
8,"What demarcates a clear distinction between nation and state, as well as religion and state?",Indian political philosophy,1888,260,Political_philosophy,squad_extractive
9,"What was divided into governance, administration, defense, law and  order?",The institutions of state,2164,301,Political_philosophy,squad_extractive
10,What was the governing body of the Hindu states?,Mantranga,2268,315,Political_philosophy,squad_extractive
11,What provides an account of the science of politics for a wise ruler?,The Arthashastra,2571,361,Political_philosophy,squad_extractive
12,What is an example of a code of law in ancient India?,the Manusmṛti or Laws of Manu,3146,450,Political_philosophy,squad_extractive
13,What was a key change brought about by Christian thought?,the moderatation of the Stoicism,3316,478,Political_philosophy,squad_extractive
14,What does Civitas Dei mean?,City of God,3573,528,Political_philosophy,squad_extractive
15,What does Civitas terrena mean?,City of Man,3606,535,Political_philosophy,squad_extractive
16,What strongly altered the power balances and perceptions of origin of power in the Mediterranean region?,The rise of Islam,3809,569,Political_philosophy,squad_extractive
17,What emphasized an inexorable link between science and religion?,Early Islamic philosophy,3966,595,Political_philosophy,squad_extractive
18,Who challenged the early Islamic philosophy's views?,"the ""rationalist"" Mutazilite philosophers",4205,631,Political_philosophy,squad_extractive
19,"What type of views did the ""rationalist"" Mutaziite philosophers hold?",Hellenic view,4264,639,Political_philosophy,squad_extractive
20,What is taken as the basis of an analysis?,The political conceptions of Islam,5138,771,Political_philosophy,squad_extractive
21,What was heavily influenced by Christian thinking?,Medieval political philosophy in Europe,5821,883,Political_philosophy,squad_extractive
22,Medieval political philosophy had much in common with what type of thinking?,Mutazalite Islamic thinking,5938,901,Political_philosophy,squad_extractive
23,Who was the most influential political philosopher of medieval Europe? ,St. Thomas Aquinas,6403,968,Political_philosophy,squad_extractive
24,What was one of the most influential works during the period? ,Niccolò Machiavelli's The Prince,6789,1024,Political_philosophy,squad_extractive
25,Who wrote The  Prince?,Niccolò Machiavelli,6789,1024,Political_philosophy,squad_extractive
26,When was Niccolo Machiavelli's The Prince published? ,1532,6864,1034,Political_philosophy,squad_extractive
27,Who was well known for his theory of the social contract?,Thomas Hobbes,7652,1160,Political_philosophy,squad_extractive
28,Society has been considered subject to natural laws akin to what?,the physical world,9381,1437,Political_philosophy,squad_extractive
29,The concept of the guild was subordinated to the theory of what?,free trade,9543,1462,Political_philosophy,squad_extractive
30,What increasingly challenged the Roman Catholic dominance of theology?,Protestant churches,9627,1474,Political_philosophy,squad_extractive
