question_id,doc_id,doc_slug,question,answer,evidence_char_pos,evidence_word_pos,type,answerable_v1000,answerable_v2000,answerable_v3000,answerable_v6000,answerable_v10000,answerable_v20000,answerable_v30000,answerable_v50000
00950a36_0,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,What was the name of Olivia's former master that she was escaping from?,Shah Amurath,3263,566,narrativeqa_extractive_subset,True,True,True,True,True,False,False,False
00950a36_1,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,Who frees Conan from the pirates who knocked him unconscious?,Olivia,1414,233,narrativeqa_extractive_subset,True,True,True,True,True,False,False,False
00950a36_2,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,What is the name of the city Olivia is escaping from?,Akif,2333,404,narrativeqa_extractive_subset,True,True,True,True,True,False,False,False
00950a36_3,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,"As they leave the island, what does Conan say he will make Olivia?",Queen of the Blue Sea,68920,12117,narrativeqa_extractive_subset,False,False,False,False,False,False,False,False
00950a36_4,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,What was the title of the story?,Shadows in the Moonlight,69050,12138,narrativeqa_extractive_subset,False,False,False,False,False,False,False,False
00950a36_5,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,Who Fled the city of Akif?,Olivia,1414,233,narrativeqa_extractive_subset,True,True,True,True,True,False,False,False
00950a36_6,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,"Who was made ""Queen of the Blue Sea""?",Olivia,1414,233,narrativeqa_extractive_subset,True,True,True,True,True,False,False,False
00950a36_7,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,Who does the mad man who defeats Olivia's pursuer turn out to be? ,Conan,8648,1523,narrativeqa_extractive_subset,False,True,True,True,True,False,False,False
00950a36_8,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,Who frees Conan from the pirates?,Olivia.,2121,362,narrativeqa_extractive_subset,True,True,True,True,True,False,False,False
00950a36_9,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,Where was Olivia held captive at?,Akif,2333,404,narrativeqa_extractive_subset,True,True,True,True,True,False,False,False
00950a36_10,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,What is the newcomers' name that Olivia meets?,Conan,8648,1523,narrativeqa_extractive_subset,False,True,True,True,True,False,False,False
00950a36_11,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,Who made Conan a captain?,Pirates,12518,2232,narrativeqa_extractive_subset,False,False,True,True,True,False,False,False
00950a36_12,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,What city has Olivia fled from?,Akif,2333,404,narrativeqa_extractive_subset,True,True,True,True,True,False,False,False
00950a36_13,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,Who is chasing and pursuing olivia?,Shah,1235,199,narrativeqa_extractive_subset,True,True,True,True,True,False,False,False
00950a36_14,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,What is being lobbed at Olivia from the jungle?,boulders,25618,4518,narrativeqa_extractive_subset,False,False,False,True,True,False,False,False
00950a36_15,00950a3641e6a28b04a6fabf6334140e2deaa9fd,00950a36,Who kills the captain of the pirate ship?,Conan,8648,1523,narrativeqa_extractive_subset,False,True,True,True,True,False,False,False
3e966645_0,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What were Attwater and the native workers harvesting?,Pearls,147042,26768,narrativeqa_extractive_subset,False,False,False,False,False,False,True,False
3e966645_1,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What country were the men planning on sailing the ship to?,Peru,10676,1883,narrativeqa_extractive_subset,False,False,True,True,True,True,True,False
3e966645_2,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,Who is the very religious man?,Davis,39160,7166,narrativeqa_extractive_subset,False,False,False,False,True,True,True,False
3e966645_3,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,Which man harvests pearls?,Attwater,140959,25696,narrativeqa_extractive_subset,False,False,False,False,False,False,True,False
3e966645_4,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What did the men start drinking on the ship?,Champagne,51934,9483,narrativeqa_extractive_subset,False,False,False,False,True,True,True,False
3e966645_5,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What illness did the former officers die from?,smallpox,48676,8886,narrativeqa_extractive_subset,False,False,False,False,True,True,True,False
3e966645_6,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,Which man tried to drown himself?,Herrick,3058,532,narrativeqa_extractive_subset,True,True,True,True,True,True,True,False
3e966645_7,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,Who did the U.S. Consul employ to take over the ship?,Davis,39160,7166,narrativeqa_extractive_subset,False,False,False,False,True,True,True,False
3e966645_8,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What port to the 3 beggers operate in?,Papeete,1049,170,narrativeqa_extractive_subset,True,True,True,True,True,True,True,False
3e966645_9,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What country is Papeete in?,Tahiti,2568,440,narrativeqa_extractive_subset,True,True,True,True,True,True,True,False
3e966645_10,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What was the schooner that landed in the port carrying?,champagne,20851,3789,narrativeqa_extractive_subset,False,False,False,True,True,True,True,False
3e966645_11,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,Where was the schooner going?,Sydney,48599,8873,narrativeqa_extractive_subset,False,False,False,False,True,True,True,False
3e966645_12,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What were the schooners officer's killed by?,smallpox,48676,8886,narrativeqa_extractive_subset,False,False,False,False,True,True,True,False
3e966645_13,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What did Davis and Huish do with the cargo?,drank it,177961,32397,narrativeqa_extractive_subset,False,False,False,False,False,False,False,False
3e966645_14,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What was Attwater harvesting on the island?,pearls,127245,23234,narrativeqa_extractive_subset,False,False,False,False,False,False,True,False
3e966645_15,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What does Attwater harvest on the island?,Pearls,147042,26768,narrativeqa_extractive_subset,False,False,False,False,False,False,True,False
3e966645_16,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What does Davis think the ship is carrying?,Champagne,51934,9483,narrativeqa_extractive_subset,False,False,False,False,True,True,True,False
3e966645_17,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,Where do the three men plan to sail the ship?,Peru,10676,1883,narrativeqa_extractive_subset,False,False,True,True,True,True,True,False
3e966645_18,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,"Who says ""Go, and sin no more""?",Attwater,140959,25696,narrativeqa_extractive_subset,False,False,False,False,False,False,True,False
3e966645_19,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,Which of the 3 beggars operating out of the Tahitian port of Papeete was formerly an American sea captian? ,Davis,39160,7166,narrativeqa_extractive_subset,False,False,False,False,True,True,True,False
3e966645_20,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,What was the schooner that went off course when sailing from from San Francisco to Sydney supposedly carrying?,Champagne,51934,9483,narrativeqa_extractive_subset,False,False,False,False,True,True,True,False
3e966645_21,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,Who does the US Counsel hire to take over the schooner carrying champagne that has veered off course?,Davis,39160,7166,narrativeqa_extractive_subset,False,False,False,False,True,True,True,False
3e966645_22,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,"Where does Davis and the others plan to take the ship, instead of Sydney?  ",Peru,10676,1883,narrativeqa_extractive_subset,False,False,True,True,True,True,True,False
3e966645_23,3e9666459feb414586d9d23b51c8a020bacc150a,3e966645,Which of the 3 beggars operating out of the Tahitian port of Papeete was once a failed English businessman? ,Herrick,3058,532,narrativeqa_extractive_subset,True,True,True,True,True,True,True,False
6a659de3_0,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,"Where did Holly, Leo and Job travel to and become shipwrecked at?",East Africa,90150,15926,narrativeqa_extractive_subset,False,False,False,False,False,True,True,True
6a659de3_1,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who is chief elder of one of the Amahagger tribes?,Billali,147539,26528,narrativeqa_extractive_subset,False,False,False,False,False,False,True,True
6a659de3_2,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who may have some degree of power to reanimate the dead?,Ayesha,10767,1937,narrativeqa_extractive_subset,False,True,True,True,True,True,True,True
6a659de3_3,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who has supernatural powers?,Ayesha,10767,1937,narrativeqa_extractive_subset,False,True,True,True,True,True,True,True
6a659de3_4,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who is Ayesha confident of becomming the reincarnation of her former lover?,Leo,5570,993,narrativeqa_extractive_subset,False,True,True,True,True,True,True,True
6a659de3_5,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who does Vincey put in charge of raising his son Leo?,Holly,3903,685,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
6a659de3_6,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who is the queen?,Ayesha,10767,1937,narrativeqa_extractive_subset,False,True,True,True,True,True,True,True
6a659de3_7,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Where does the box take them when they finally open it?,Africa,5746,1026,narrativeqa_extractive_subset,False,True,True,True,True,True,True,True
6a659de3_8,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who saves Leo after he is injured?,Ayesha,10767,1937,narrativeqa_extractive_subset,False,True,True,True,True,True,True,True
6a659de3_9,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Where does Ayesha and her people live?,Africa.,88784,15676,narrativeqa_extractive_subset,False,False,False,False,False,True,True,True
6a659de3_10,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,How did Ayesha kill Ustane?,magic,58273,10750,narrativeqa_extractive_subset,False,False,False,False,False,True,True,True
6a659de3_11,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who is Leo's biological father?,Vincey,2529,440,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
6a659de3_12,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who did Vincey want to raise his son once he died?,Horace Holly,5211,927,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
6a659de3_13,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who is the chief elder of the Amahagger tribes?,Billali,147539,26528,narrativeqa_extractive_subset,False,False,False,False,False,False,True,True
6a659de3_14,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who is the young professor?,Horace Holly,5211,927,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
6a659de3_15,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who is ruled by the white queen?,the natives,253671,46186,narrativeqa_extractive_subset,False,False,False,False,False,False,False,True
6a659de3_16,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,What  did Ayesha take the two men to go and see? ,pillar of fire,552543,101764,narrativeqa_extractive_subset,False,False,False,False,False,False,False,False
6a659de3_17,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who decided leo should die in the fire?,Ayesha,10767,1937,narrativeqa_extractive_subset,False,True,True,True,True,True,True,True
6a659de3_18,6a659de3aa344680261aaf152a26bf7a20fe22f2,6a659de3,Who is vincey?,Leo's father,92365,16353,narrativeqa_extractive_subset,False,False,False,False,False,True,True,True
9561a72a_0,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,Who are Dorothy Gale's only living relatives?,Aunt Em and Uncle Henry,1829,287,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
9561a72a_1,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,Who does Dorothy make an arrangement with to keep her family safe?,Princess Ozma,10377,1725,narrativeqa_extractive_subset,False,True,True,True,True,True,True,True
9561a72a_2,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,What nation decides to help the Nome army?,Whimsies ,56963,10256,narrativeqa_extractive_subset,False,False,False,False,False,True,True,True
9561a72a_3,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,Where does the climax of the story take place?,The Emerald City,23004,4085,narrativeqa_extractive_subset,False,False,False,True,True,True,True,True
9561a72a_4,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,What kind of animal does the zebra have a dispute with?,Crab,160072,28839,narrativeqa_extractive_subset,False,False,False,False,False,False,True,True
