question_id,question,evidence_char_pos,evidence_word_pos,correct_option_index,type,option_0,option_1,option_2,option_3,option_4
1,"that no instruction directly explained to the jury that the State was required to prove beyond a reasonable doubt that O’Connell’s criminal conduct was voluntary. The trial court’s instructions informed the jury (1) that the State was required to prove that O’Connell was guilty beyond a reasonable doubt and (2) also instructed that he could be convicted only if he voluntarily engaged in the conduct in violation of the statute defining the offenses. These instructions, considered as a whole, in reference to each other and not in isolation, adequately explained to the jury the State’s burden of proving that O’Connell’s actions were voluntary. Simply put, the instructions as a whole did not misstate the law or otherwise mislead the jury. See Hurt v. State, 570 N.E.2d 16, 18 (Ind.1991) (<HOLDING>). Under these facts and circumstances, the",0,1,2,case_hold_mc,holding defendant must act with specific intent to cause death of another in order to be convicted of attempted murder,holding that the jury instructions taken as a whole sufficiently informed the jury of the states burden of proving that the defendant specifically intended to kill the victim,holding that there was no error where one instruction did not inform the jury that in order to convict defendant of attempted murder the evidence must show that defendant had a specific intent to commit murder but where subsequent instruction did inform jury of this requirement and concluding that the instructions when read as a whole adequately informed the jury of the requirement of specific intent to kill,holding good faith jury instruction is not necessary when the court has given an adequate specific intent instruction,holding that where both firstdegree and felony murder were possible bases for a murder conviction a jury instruction that suggested the jury could rely on felony murder as the predicate offense for a conviction for conspiracy to commit murder was improper because under arizona law a conviction for conspiracy to commit firstdegree murder requires a specific intent to kill
2,"in those proceedings. Andiarena, 967 F.2d at 718. However, Goldman must still show cause for failing to raise his claim regarding the 1977 conviction at his 1993 sentencing. See Prou v. United States, 199 F.3d 37, 47 (1st Cir.1999) (affirming that “a defendant’s failure to object [to an issue] at sentencing ... constitutes a procedural default, leaving the issue open to collateral attack only if the defendant can show cause and prejudice”); United States v. LaValle, 175 F.3d 1106, 1109 (9th Cir.1999) (rejecting government’s cause and prejudice challenge to petitioner’s § 2255 motion based on state vacatur of a predicate conviction because the petitioner had challenged the predicate conviction at his 1994 sentencing hearing); United States v. Maybeck, 23 F.3d 888, 892 (4th Cir.1994) (<HOLDING>). Goldman has not made this showing. Goldman",853,138,0,case_hold_mc,holding that the cause and prejudice standard applied to defendants failure to object to his career offender classification at sentencing,holding defendants failure to object to the drug quantity assessment in the presentence report at sentencing was a waiver of the issue on appeal,holding that where defendant failed to object to facts in psi relating to prior conviction the failure to object constituted an admission,holding that defendant must object at trial to preserve as applied challenge for appeal,holding that a showing of cause and prejudice fails to overcome a defendants initial failure to object
3,"932 So.2d at 541-42; Tandem Health Care of St. Petersburg, Inc. v. Whitney, 897 So.2d 531, 532 (Fla. 2d DCA 2005); Melamed, 425 So.2d at 128. The question then becomes, “What constitutes a ‘substantial issue?’ ” In Chastain—which was cited with.approval in R 3 (Fla. 4th DCA 2006) (“In this case, at the hearing on the motion to compel arbitration, Linden’s attorney failed to specify any issue that required an evidentiary hearing.”); Affinity Internet, Inc. v. Consolidated Credit Counseling Servs., Inc., 920 So.2d 1286, 1289 (Fla. 4th DCA 2006) (“No evidentiary hearing was required because no factual issues were in dispute and the issue of whether a valid arbitration agreement existed was a matter of law.”); Proper v. Don Connolly Constr. Co., 546 So.2d 758, 759-60 (Fla. 2d DCA 1989) (<HOLDING>). In this case, the following facts are",1708,271,4,case_hold_mc,holding that the  district court did not give the plaintiffs an adequate opportunity to be heard where it failed to conduct an in limine hearing and denied oral argument on the evidentiary issues,holding that contested factual issues in  2255 cases must be decided on the basis of an evidentiary hearing not affidavits,holding that the trial court did not need to conduct an evidentiary hearing when the dispute could be resolved as a matter of law,holding that trial court did not err in ruling on appellees motion for summary judgment before appellees complied with appellants discovery request when the record reflected that appellant filed a motion to compel three days before the hearing and the record did not reveal any effort on the part of appellant to secure a ruling from the trial court on its motion to compel or object at the trial court hearing the motion for summary judgment prior to ruling on the motion to compel,holding that a trial court need not conduct an evidentiary hearing on a  motion to compel or stay arbitration if it can determine the issue as a matter of law after inspecting the relevant documents and affidavits andlistening to argument oh the issues
4,"negligence was a substantial factor in bringing about his injury and was a factor without which no harm would have been incurred. Excel Corp. v. Apodaca, 81 S.W.3d 817, 820 (Tex.2002). “ ‘The word “substantial” is used to denote the fact that the defendant’s conduct has such an effect in producing the harm as to lead reasonable men to regard it as a cause, using that word in the popular sense, in which there always lurks the idea of responsibility, rather than in the so-called “philosophic sense,” which includes every one of the great number of events without which any happening would not have occurred.’ ” Union Pump Co. v. Allbritton, 898 S.W.2d 773, 776 (Tex.1995) (quoting Lear Siegler, Inc. v. Perez, 819 S.W.2d 470, 472 (Tex.1991)). The test for fore ex.App.-Tyler 2000, no pet.) (<HOLDING>). Because we hold that only a non-use of",2558,410,4,case_hold_mc,holding that ttca does not waive immunity from suit for claim whose substance is that patients death was caused by hospital staffs failure to restrain patient after having learned that he was suicidal,holding that claim based on failure to restrain inmate by handcuffing or shackling was allegation of nonuse of property for which ttca did not waive immunity,holding that errors in medical judgment do not provide waiver of immunity under ttca,holding that ttca did not waive immunity for claim based on failure properly to evaluate and to restrain patient who was assaulted by fellow patients after exiting unlocked door,holding that failure to lock door through which patient escaped and later drowned was nonuse of property for which ttca did not waive immunity
5,"v. Pembroke Real Estate, Inc., 459 F.3d 128, 142 (1st Cir.2006). Moreover, the broad scope of the Copyright Act definitions may be of limited assistance as the court applies a “common sense” analysis of whether a particular unfinished work may be covered by VARA. One of the co-sponsors of VARA observed that “we have gone to extreme lengths to very narrowly define the works of art that will be covered.... The definition is not synonymous with any other definition in the Copyright Act....” H.R.Rep. No. 101-514, at 11. In Lilley v. Stout, 384 F.Supp.2d 83 (D.D.C.2005), the district judge noted that “VARA established a new and distinct genus of art: ‘works of visual art,’ which differs in many respects from the pre-existing categories in Section 102(a) of the Copyright Act.” Id. at 86 (<HOLDING>). While this overview leaves much that is",3409,555,0,case_hold_mc,holding that a set of photographs taken to be used as studies for a painting did not qualify for vara protection,holding that the defendants evidence did not qualify as newly discovered evidence,holding negligence on the part of the attorney does not qualify for such relief,holding that use of a pretext phone call did not qualify for protection because the technique is generally known to the public,holding that purely reputational damage does not qualify for dueprocess protection
6,"of the defendant, however, will shift the burden to the State to prove that the exercised challenges were not racially motivated. To sustain this burden, the State ... must satisfy the court that its peremptory challenges were made on grounds of specific, individual juror bias, or on grounds reasonably related to the particular case or trial ... and not solely on the ground of the juror's race. Riley I, 496 A.2d at 1013 (quotation and citation omitted). 11 . See, e.g., MacKintrush v. State, 978 S.W.2d 293, 297 (Ark.1998) (describing step three of Batson as requiring ""that the trial court weigh and assess what has been presented to it to decide whether in light of all the circumstances, the proponent’s explanation is or is not pretextual”); State v. Collier, 553 So.2d 815, 821 (La.1989) (<HOLDING>) (quotation omitted). 12 . This is unlike the",4260,697,3,case_hold_mc,holding that the plaintiffs evidence of pretext was insufficient because the plaintiff failed to present evidence that the employer did not honestly believe its proffered reasons for its action,holding that summary judgment was appropriate where plaintiff attempted to prove pretext simply by showing that the defendant knew of her complaints and took an adverse employment action shortly thereafter and did not offer reasons as to why the legitimate reasons proffered for her discharge were pretextual,holding that a reasonable jury could find pretext for a termination where the plaintiff stated that her work was satisfactory and there was no indication that the plaintiffs statement was either incredible or fanciful,holding that the trial judge cannot simply rjubber stamp  a prosecutors nonracial explanation no matter how whimsical or fanciful  but in order to permit a questioned peremptory challenge  must conclude that the proffered reasons are first neutral and reasonable and second not a pretext,recognizing that a trial judge can implicitly find a prosecutors proffered reasons credible
7,"at trial, defense counsel explained to the court that the witness was to describe the “fight or flight” response to the jury. According to defense counsel, the psychologist was prepared to testify that in some highly stressful situations, an individual’s perception of danger may impel them to “fight,” when they perceive that they are being prevented from “flight.” Additionally, the psychologist was prepared to testify that given Filomeno’s situation, his perceptions of danger were both logical and reasonable. Sustaining the State’s objection to the proffered testimony, the trial court concluded that the psychologist’s testimony attempted to put forth the defense of diminished mental capacity, a defense not recognized in Florida. See Chestnut v. State, 538 So.2d 820, 825 (Fla.1989) (<HOLDING>). The admissibility of evidence is within the",5120,841,1,case_hold_mc,holding that parol evidence is admissible to establish a condition precedent to the existence of a contract,holding that evidence of an impaired mental condition that does not rise to floridas definition of insanity is not admissible,holding that evidence of impaired mental functioning is inherently mitigating and that a defendant is not required to demonstrate a nexus between his mental capacity and the crime committed,holding that failure to record an assignment does not give rise to a cause of action,holding that rule 35 does not permit sweeping examinations of a party who has not affirmatively put into issue his own mental or physical condition by asserting his mental or physical condition either in support of or in defense of a claim and that mere relevance to the case is insufficient
8,"Ctr. of DeSoto, Tex., Inc. v. Mason, 143 S.W.3d 794, 798 (Tex.2004). 4 . Reata Constr. Corp. v. City of Dallas, 197 S.W.3d 371, 374 (Tex.2006). 5 . Tooke v. City of Mexia, 197 S.W.3d 325, 328-29 (Tex.2006); Duhart v. State, 610 S.W.2d 740, 742 (Tex.1980). 6 . Tex. Loc. Gov't Code Ann. § 271.152 (Vernon 2005). 7 . Id. at § 271.153(a). 8 . Id. at § 271.153(b)(1), (b)(3). 9 . Id. at § 271.151(2). 10 . Id. at§ 271.151(3)(C). 11 . See Tooke, 197 S.W.3d at 328-29 (noting that sovereign immunity is waived only by clear and unambiguous language). 12 . See Tex. Water Code Ann. § 49.001(a)(1) (Vernon Supp.2007). 13 . Id. § 49.066(a). 14 . Bexar Metro. Water Dist. v. Educ. and Econ. Dev. Joint Venture, 220 S.W.3d 25, 31 (Tex.App.-San Antonio 2006, pet. filed); see also Tooke, 197 S.W.3d at 342 (<HOLDING>)- 15 . Matheus v. Sasser, 164 S.W.3d 453, 459",5975,969,3,case_hold_mc,holding that a state may waive its sovereign immunity,holding that the trustee alone has the capacity to sue and be sued ,holding that sue and be sued provisions of agencies should be liberally construed and that  authorization of suits against federal entities engaged in commercial activities may waive sovereign immunity from awards of interest as an incident of suit ,holding that the words sue and be sued when used in a statute do not by themselves waive immunity,holding that plaintiffs do not lose their right to sue for damages sustained within statute of limitations period by failing to sue on earlier incidents in timely manner
9,"45 U.S.C. § 56, and 46 U.S.C. § 30106, are essentially identical, stating that the action must be “commenced” or “brought” within the three year period. The Supreme Court in Burnett specifically found that the state court suit had been properly “commenced” although it was filed in an improper venue. 380 U.S. at 426, 85 S.Ct. at 1053. Furthermore, because the principle of uniformity that drove the Burnett decision applies with equal force to a general maritime action, other courts have correctly held that Burnett applies in general maritime cases. See, e.g., Prejean, 721 So.2d at 1276 (citing 1 Martin J. Norris, The Law of Maritime Personal Injuries § 5:10 (4th ed.1990)); Davis, 659 F.Supp. at 156-157; People of the Living God v. Star Towing Co., 289 F.Supp. 635, 639 (E.D.La.1968) (<HOLDING>). Defendant’s second argument for distinction",6832,1126,3,case_hold_mc,holding that feres doctrine is equally applicable to family member claims derivative of a service members injuries,holding that uniformity is as important in maritime survival actions as it is in maritime wrongful death actions,holding that courts apply substantive admiralty law to claims that sound in admiralty regardless of whether the complaint invokes diversity or admiralty jurisdiction,holding that burnett and its justification of uniformity is equally applicable to admiralty actions,holding that a complaint that asserts both admiralty jurisdiction and diversity jurisdiction is not an adequate 9h designation to trigger admiralty procedures
10,"she had responded, the disciplinary hearing which was held might have proven to be unnecessary. Spooner, No. SC04-1375, Florida Bar No. 2004-00,357 The referee made numerous findings concerning the Spooner case, all of which led to the conclusion that Broome’s representation of Spooner was adequate. The only ethical violation the referee found in this case, a failure to respond to the Bar’s letter of inquiry in violation of rule 4-8.4(g)(1), was not supported by a factual finding by the referee that Broome failed to respond to a letter of inquiry from the Bar. However, Broome admitted the allegation in her answer to the Bar’s formal complaint against her. Nor is she taking issue with the referee’s finding of the violation. See also Fla. Bar v. Lancaster, 448 So.2d 1019, 1022 (Fla.1984) (<HOLDING>). Mailloux, No. SC04-1375, Florida Bar No.",7686,1264,3,case_hold_mc,holding defendants were precluded from challenging the validity of jury verdict forms for failure to have complained at trial,holding that the plaintiff was precluded from raising the issue for the first time on appeal,holding that a defendants failure to object or join in a codefendants objection to an issue bars the defendant from raising the issue on appeal,holding bars failure to present evidence on an issue to which the parties had stipulated precluded the attorney from challenging the accuracy of the finding,holding that a challenge to the weight of the evidence is waived for failure to present the issue first to the trial court
