genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,4,full_context_rehearsal_lookup,False,No information.,2,True,2.7,7917,10,7927
wiki,1,full_context_rehearsal_lookup,True,1898.,2,True,3.3,7893,10,7903
wiki,3,full_context_rehearsal_lookup,True,1624.,2,True,6.4,7881,10,7891
wiki,2,full_context_rehearsal_lookup,True,"8,491,079.",2,True,6.4,7895,13,7908
wiki,6,full_context_rehearsal_lookup,False,I don't have that information.,2,True,3.9,7891,14,7905
wiki,5,full_context_rehearsal_lookup,False,I don't have information about that.,2,True,6.6,7889,15,7904
wiki,9,full_context_rehearsal_lookup,False,1624,2,True,3.4,7887,9,7896
wiki,8,full_context_rehearsal_lookup,False,No information.,2,True,4.8,7883,10,7893
wiki,7,full_context_rehearsal_lookup,False,I don't have that information.,2,True,5.1,7881,14,7895
wiki,10,full_context_rehearsal_lookup,True,Peter Stuyvesant.,2,True,3.1,7887,13,7900
wiki,11,full_context_rehearsal_lookup,False,New Amsterdam.,2,True,2.3,7891,10,7901
wiki,12,full_context_rehearsal_lookup,False,No information is provided about England gaining New York in exchange for an Indonesian island.,2,True,3.7,7901,23,7924
wiki,15,full_context_rehearsal_lookup,False,No answer available.,2,True,4.0,7887,11,7898
wiki,14,full_context_rehearsal_lookup,False,I don't have information about the Battle of Long Island in the passage.,2,True,5.1,7893,22,7915
wiki,16,full_context_rehearsal_lookup,True,Philadelphia.,2,True,45.3,7897,9,7906
wiki,13,full_context_rehearsal_lookup,False,I don't have information about that.,2,True,48.9,7887,15,7902
wiki,18,full_context_rehearsal_lookup,False,There is no information about the Erie Canal in the passage.,2,True,44.4,7889,19,7908
wiki,17,full_context_rehearsal_lookup,False,No information is provided about the state of New York eliminating slavery.,2,True,45.3,7891,20,7911
wiki,20,full_context_rehearsal_lookup,False,1624,2,True,3.1,7891,9,7900
wiki,19,full_context_rehearsal_lookup,False,No information available.,2,True,4.6,7901,11,7912
news,2,full_context_rehearsal_lookup,False,"One Australian soldier, three civilians and Taliban militants.",1,False,3.0,24870,11,24881
news,4,full_context_rehearsal_lookup,False,Yes.,2,True,3.3,25829,12,25841
news,5,full_context_rehearsal_lookup,False,AC Milan,1,False,0.3,24872,3,24875
news,6,full_context_rehearsal_lookup,False,6th,1,False,0.7,24870,3,24873
news,3,full_context_rehearsal_lookup,False,Four airmen.,2,True,4.0,25704,12,25716
news,7,full_context_rehearsal_lookup,False,Heineken,1,False,1.6,24875,4,24879
news,10,full_context_rehearsal_lookup,False,"September 13, 2007.",1,False,2.0,24874,9,24883
news,8,full_context_rehearsal_lookup,False,television survival show,1,False,3.1,24872,5,24877
news,9,full_context_rehearsal_lookup,False,Colonoscopy.,1,False,3.4,24881,5,24886
news,13,full_context_rehearsal_lookup,False,December 27,1,False,0.9,24871,4,24875
news,12,full_context_rehearsal_lookup,False,As-Sahab Media.,2,True,1.4,25760,12,25772
news,14,full_context_rehearsal_lookup,True,Three Chinese nationals.,2,True,1.8,25901,14,25915
