문항번호,원본_문서,문제,정답,근거_문자위치,유형,근거_어절위치
1,국민연합_(프랑스),프랑스의 국민연합이 만들어진 때는 언제인가?,1972년,70,KorQuAD_추출형,16
2,국민연합_(프랑스),프랑스 정당인 국민연합의 성향은 뭐야?,극우,1212,KorQuAD_추출형,295
3,국민연합_(프랑스),프랑스 국민연합의 1대 당수의 이름은?,장마리 르 펜,877,KorQuAD_추출형,215
4,국민연합_(프랑스),프랑스의 국민연합이 유럽의회선거에서 1순위를 기록한연도는 언제일까?,2014년,788,KorQuAD_추출형,195
5,국민연합_(프랑스),프랑스 지방의회 선거에서 국민연합의 1차 득표율이 가장 높았던 해는 언제인가요?,2015년,840,KorQuAD_추출형,207
6,앨런_와이즈먼,인간 없는 세상은 2007년에 타임지 올해의 논픽션에서 몇 위에 선정되었을까?,1위,2075,KorQuAD_추출형,489
7,앨런_와이즈먼,앨런 와이즈먼이 2007년에 출간한 책의 제목은 무엇인가?,인간 없는 세상,1890,KorQuAD_추출형,452
8,앨런_와이즈먼,증가한 인구에 의한 재앙을 보여주는 작품의 제목은?,인구 쇼크,2659,KorQuAD_추출형,614
9,마마무,마마무가 신인상을 수상한 곳은 어디인가요?,가온 차트 K-POP 어워드,3674,KorQuAD_추출형,837
10,마마무,마마무가 제31회 골든 디스크 디지털음원 본상을 수상한 연도는 어떻게 되나요?,2017년,4188,KorQuAD_추출형,958
11,마마무,마마무의 디지털 싱글 음반 중 첫번째 음반의 발매일은?,2014년 1월 9일,3355,KorQuAD_추출형,763
12,G-TELP,G TELP 의 쓰기평가는 총 몇단계로 구성되어 있는가?,11,6134,KorQuAD_추출형,1347
13,G-TELP,«G-TELP KOREA»는 몇년도에 설립되었을까?,1986년,5159,KorQuAD_추출형,1163
14,G-TELP,G-TELP level1 test는 시험을 모두 진행하는데 대략 몇 분 정도 소요되는가?,약 100분,5778,KorQuAD_추출형,1285
15,이대진,김대진이 어깨를 다쳐 수술을 했던 년도는?,1999년,7382,KorQuAD_추출형,1618
16,이대진,1993년에 해태 타이거즈는 몇 승을 거두었는가?,10승,6756,KorQuAD_추출형,1466
17,이대진,2002년 이대진은 어떤 팀 소속이였을까?,KIA,7918,KorQuAD_추출형,1750
18,파벨_네드베트,네드베트는 UEFA 유로 2004 준결승경기에서 어디를 다쳐 교체됐어?,무릎,9454,KorQuAD_추출형,2125
19,파벨_네드베트,파벨 네드베드가 발롱도르를 수상한 해는 언제인가?,2003,8448,KorQuAD_추출형,1886
20,파벨_네드베트,파벨 네드베트는 2001년에 어느 팀으로 이적했는가?,유벤투스 FC,8804,KorQuAD_추출형,1970
21,츠펑시,2005년 츠펑시의 GDP는 얼마인가?,345억 6천만 위안,11094,KorQuAD_추출형,2517
22,츠펑시,요가 몰락하고 나서 츠펑에는 어떤 사람들이 거주했어?,몽골 민족,10314,KorQuAD_추출형,2328
23,츠펑시,츠펑시의 평균 강수량이 가장 높은 달은 몇 월인가?,7월,10556,KorQuAD_추출형,2388
24,2009년_월드_시리즈,조지 스타인브레너가 구단주를 아들에게 넘긴게 언제인가요?,2008년 11월,12852,KorQuAD_추출형,2934
25,2009년_월드_시리즈,2009년 정규시즌에서 필리스는 몇승 몇패로 리그 우승을 하였는가?,93승 69패,12519,KorQuAD_추출형,2858
26,2009년_월드_시리즈,2009년 월드시리즈 1차전의 승리투수는 누구일까?,클리프 리,12228,KorQuAD_추출형,2785
27,2009년_월드_시리즈,2009년 월드 시리즈에서 11월 2일의 승리 투수는 누구일까?,클리프 리,12228,KorQuAD_추출형,2785
28,예수_(1979년_영화),빌 브라이트는 어느 단체의 창시자인가?,대학생선교회,13966,KorQuAD_추출형,3211
29,예수_(1979년_영화),영화 예수에서 성모 마리아 역을 맡은 배우는 누구인가?,리브카 뉴먼,14749,KorQuAD_추출형,3392
