genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
caselaw,7,maintenance_extractive_dynamic_w1_pilot,False,5,1,,0.5,8333,2,8335
caselaw,3,maintenance_extractive_dynamic_w1_pilot,True,5,1,,0.5,8319,2,8321
caselaw,5,maintenance_extractive_dynamic_w1_pilot,False,2,1,,0.5,8483,2,8485
caselaw,1,maintenance_extractive_dynamic_w1_pilot,False,5,1,,0.5,8395,2,8397
caselaw,9,maintenance_extractive_dynamic_w1_pilot,True,5,1,,0.4,8374,2,8376
caselaw,13,maintenance_extractive_dynamic_w1_pilot,False,5,1,,0.5,8400,2,8402
caselaw,15,maintenance_extractive_dynamic_w1_pilot,False,5,1,,0.6,8306,2,8308
caselaw,11,maintenance_extractive_dynamic_w1_pilot,False,4,1,,0.5,8365,2,8367
caselaw,19,maintenance_extractive_dynamic_w1_pilot,False,4,1,,0.3,8370,2,8372
caselaw,17,maintenance_extractive_dynamic_w1_pilot,False,4,1,,0.5,8421,2,8423
caselaw,23,maintenance_extractive_dynamic_w1_pilot,False,2,1,,0.3,8438,2,8440
caselaw,21,maintenance_extractive_dynamic_w1_pilot,False,5,1,,0.5,8333,2,8335
caselaw,25,maintenance_extractive_dynamic_w1_pilot,False,3,1,,0.4,8317,2,8319
caselaw,29,maintenance_extractive_dynamic_w1_pilot,False,2,1,,0.5,8423,2,8425
caselaw,27,maintenance_extractive_dynamic_w1_pilot,True,2,1,,0.3,8351,2,8353
caselaw,31,maintenance_extractive_dynamic_w1_pilot,True,5,1,,0.5,8378,2,8380
caselaw,33,maintenance_extractive_dynamic_w1_pilot,False,2,1,,0.5,8368,2,8370
caselaw,37,maintenance_extractive_dynamic_w1_pilot,False,2,1,,0.4,8332,2,8334
caselaw,35,maintenance_extractive_dynamic_w1_pilot,True,2,1,,0.8,8434,2,8436
caselaw,41,maintenance_extractive_dynamic_w1_pilot,False,3,1,,0.3,8339,2,8341
caselaw,39,maintenance_extractive_dynamic_w1_pilot,False,2,1,,0.4,8335,2,8337
caselaw,45,maintenance_extractive_dynamic_w1_pilot,False,2,1,,0.3,8376,2,8378
caselaw,43,maintenance_extractive_dynamic_w1_pilot,False,5,1,,0.6,8390,2,8392
caselaw,47,maintenance_extractive_dynamic_w1_pilot,False,4,1,,0.3,8367,2,8369
caselaw,49,maintenance_extractive_dynamic_w1_pilot,True,5,1,,0.3,8362,2,8364
caselaw,51,maintenance_extractive_dynamic_w1_pilot,True,5,1,,0.2,8358,2,8360
caselaw,53,maintenance_extractive_dynamic_w1_pilot,False,2,1,,0.4,8356,2,8358
caselaw,57,maintenance_extractive_dynamic_w1_pilot,False,4,1,,0.3,8409,2,8411
caselaw,55,maintenance_extractive_dynamic_w1_pilot,True,2,1,,0.3,8428,2,8430
caselaw,61,maintenance_extractive_dynamic_w1_pilot,False,3,1,,0.4,8321,2,8323
caselaw,63,maintenance_extractive_dynamic_w1_pilot,False,5,1,,51.8,8408,2,8410
caselaw,67,maintenance_extractive_dynamic_w1_pilot,True,5,1,,51.3,8346,2,8348
