genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,3,maintenance_extractive_adaptive,True,1624.,1,,0.3,191,4,195
wiki,1,maintenance_extractive_adaptive,False,I don't have that information.,1,,0.3,236,8,244
wiki,2,maintenance_extractive_adaptive,True,"8,491,079.",1,,0.3,376,7,383
wiki,4,maintenance_extractive_adaptive,False,Wisconsinan glaciation.,1,,0.3,242,7,249
wiki,5,maintenance_extractive_adaptive,False,The French crown.,1,,0.2,228,5,233
wiki,8,maintenance_extractive_adaptive,True,Jan Rodrigues.,1,,0.2,262,5,267
wiki,6,maintenance_extractive_adaptive,True,Portuguese,1,,0.3,229,4,233
wiki,7,maintenance_extractive_adaptive,True,The Dutch East India Company.,1,,0.3,224,7,231
wiki,9,maintenance_extractive_adaptive,False,I don't have that information.,1,,0.2,264,8,272
wiki,10,maintenance_extractive_adaptive,True,Peter Stuyvesant.,1,,0.3,236,7,243
wiki,11,maintenance_extractive_adaptive,True,New Orange.,1,,0.3,238,4,242
wiki,12,maintenance_extractive_adaptive,False,There is no information about this in the passage.,1,,0.4,243,11,254
wiki,14,maintenance_extractive_adaptive,True,August 1776.,1,,0.3,207,6,213
wiki,13,maintenance_extractive_adaptive,False,I don't have information about that.,1,,0.3,204,9,213
wiki,16,maintenance_extractive_adaptive,False,No information is given about the second largest city in the United States in 1790.,1,,0.3,303,19,322
wiki,15,maintenance_extractive_adaptive,False,The American Revolutionary War.,1,,0.2,218,6,224
wiki,17,maintenance_extractive_adaptive,False,1799,1,,0.2,194,3,197
wiki,18,maintenance_extractive_adaptive,False,No information provided.,1,,0.2,213,5,218
wiki,19,maintenance_extractive_adaptive,False,No information.,1,,0.2,189,4,193
wiki,20,maintenance_extractive_adaptive,False,1624,1,,0.3,279,3,282
wiki,21,maintenance_extractive_adaptive,True,146 garment workers.,1,,0.2,200,5,205
wiki,22,maintenance_extractive_adaptive,True,Megacity.,1,,0.2,400,4,404
wiki,23,maintenance_extractive_adaptive,True,Abstract expressionism.,1,,0.2,226,5,231
wiki,24,maintenance_extractive_adaptive,True,American Airlines Flight 11.,1,,0.3,243,7,250
wiki,26,maintenance_extractive_adaptive,True,Donald Trump.,1,,0.2,204,4,208
wiki,25,maintenance_extractive_adaptive,True,American Airlines Flight 11.,1,,0.3,230,7,237
wiki,28,maintenance_extractive_adaptive,False,The East River.,1,,0.3,156,5,161
wiki,27,maintenance_extractive_adaptive,False,"Manhattan, Staten, and Long.",1,,0.3,433,9,442
wiki,29,maintenance_extractive_adaptive,False,No information given.,1,,0.3,183,5,188
wiki,30,maintenance_extractive_adaptive,True,1656,1,,0.2,266,3,269
wiki,33,maintenance_extractive_adaptive,False,Water towers.,1,,53.7,315,4,319
wiki,32,maintenance_extractive_adaptive,False,There is no mention of an animal decorating the corners of the Chrysler Building.,1,,54.5,206,16,222
wiki,31,maintenance_extractive_adaptive,True,550,1,,54.5,261,2,263
wiki,34,maintenance_extractive_adaptive,False,Not specified.,1,,54.2,221,4,225
wiki,35,maintenance_extractive_adaptive,True,"July 9, 1936.",1,,0.2,214,9,223
wiki,36,maintenance_extractive_adaptive,False,25.8 inches.,1,,0.2,208,6,214
wiki,37,maintenance_extractive_adaptive,False,I don't have that information.,1,,0.3,176,8,184
wiki,38,maintenance_extractive_adaptive,False,"26,000 acres.",1,,0.3,188,6,194
wiki,39,maintenance_extractive_adaptive,False,I don't have that information.,1,,0.3,197,8,205
wiki,40,maintenance_extractive_adaptive,True,"1,093 ha.",1,,0.2,206,6,212
wiki,42,maintenance_extractive_adaptive,False,No information is available.,1,,0.2,315,6,321
wiki,43,maintenance_extractive_adaptive,False,Bangladeshi.,1,,0.2,501,6,507
wiki,41,maintenance_extractive_adaptive,False,I couldn't find the information.,1,,0.4,171,8,179
wiki,44,maintenance_extractive_adaptive,True,12 million.,1,,0.2,268,4,272
wiki,45,maintenance_extractive_adaptive,True,"Over 74,000.",1,,0.2,232,7,239
wiki,47,maintenance_extractive_adaptive,True,The Dominican Republic.,1,,0.2,363,5,368
wiki,46,maintenance_extractive_adaptive,False,No information.,1,,0.3,228,4,232
wiki,48,maintenance_extractive_adaptive,True,"568,903",1,,0.3,208,4,212
wiki,49,maintenance_extractive_adaptive,True,Judaism.,1,,0.3,208,5,213
wiki,51,maintenance_extractive_adaptive,True,"$15,887/m²",1,,0.3,266,7,273
wiki,53,maintenance_extractive_adaptive,True,Chocolate,1,,0.2,360,2,362
wiki,50,maintenance_extractive_adaptive,True,"$2,749",1,,0.2,210,5,215
wiki,52,maintenance_extractive_adaptive,False,No information.,1,,0.2,411,4,415
wiki,54,maintenance_extractive_adaptive,True,$40 billion,1,,0.4,171,4,175
wiki,57,maintenance_extractive_adaptive,False,56 million.,1,,0.2,330,4,334
wiki,56,maintenance_extractive_adaptive,True,Roosevelt Island.,1,,0.2,278,6,284
wiki,55,maintenance_extractive_adaptive,False,No information.,1,,0.2,198,4,202
wiki,58,maintenance_extractive_adaptive,True,I Love New York,1,,0.4,226,5,231
