genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,3,raw_retrieval_adaptive,True,1624,1,,0.3,237,3,240
wiki,1,raw_retrieval_adaptive,True,1898,1,,0.2,376,3,379
wiki,2,raw_retrieval_adaptive,True,"8,491,079.",1,,0.6,660,7,667
wiki,4,raw_retrieval_adaptive,False,Wisconsinan glaciation.,1,,0.7,290,7,297
wiki,5,raw_retrieval_adaptive,True,France.,1,,0.3,320,3,323
wiki,8,raw_retrieval_adaptive,True,Jan Rodrigues.,1,,0.3,374,5,379
wiki,7,raw_retrieval_adaptive,True,Dutch East India Company.,1,,0.3,297,7,304
wiki,9,raw_retrieval_adaptive,True,1625,1,,0.3,376,3,379
wiki,6,raw_retrieval_adaptive,True,Portuguese,1,,0.3,321,4,325
wiki,10,raw_retrieval_adaptive,True,Peter Stuyvesant.,1,,0.3,342,7,349
wiki,11,raw_retrieval_adaptive,True,New Orange.,1,,0.3,344,4,348
wiki,13,raw_retrieval_adaptive,True,1735,1,,0.3,363,3,366
wiki,12,raw_retrieval_adaptive,True,The Second Anglo-Dutch War.,1,,0.3,349,8,357
wiki,14,raw_retrieval_adaptive,True,August 1776.,1,,0.2,366,6,372
wiki,15,raw_retrieval_adaptive,True,The Great Fire of New York.,1,,0.2,335,8,343
news,3,raw_retrieval_adaptive,False,Michio Kanda.,1,,0.2,369,6,375
news,2,raw_retrieval_adaptive,False,40 people.,1,,0.4,814,4,818
news,1,raw_retrieval_adaptive,False,"Civilians, soldiers, bus riders, driver, and children.",1,,0.3,780,15,795
news,4,raw_retrieval_adaptive,False,Yes.,1,,0.3,364,3,367
news,5,raw_retrieval_adaptive,False,AC Milan.,1,,0.2,306,4,310
news,6,raw_retrieval_adaptive,True,Third.,1,,0.2,478,3,481
news,9,raw_retrieval_adaptive,False,Colonoscopy.,1,,0.4,413,5,418
news,7,raw_retrieval_adaptive,True,Heineken's local unit.,1,,0.6,383,8,391
news,8,raw_retrieval_adaptive,True,Gulder Ultimate Search.,1,,0.5,380,7,387
news,10,raw_retrieval_adaptive,True,June 2002.,1,,0.3,569,6,575
news,11,raw_retrieval_adaptive,False,Swat Valley.,1,,0.3,1436,5,1441
news,13,raw_retrieval_adaptive,False,July 2005.,1,,0.3,364,6,370
news,12,raw_retrieval_adaptive,False,An al Qaeda-affiliated group.,1,,0.3,203,8,211
news,14,raw_retrieval_adaptive,False,Three Chinese citizens.,1,,0.2,364,5,369
news,15,raw_retrieval_adaptive,True,Assistant Attorney General Alice Fisher.,1,,0.2,373,7,380
