question_id,question,answer,evidence_char_pos,evidence_word_pos,type
1,What is the name of the case where the court found that the convictions for armed robbery did not violate the protection from double jeopardy?,Hillman v. State,741,122,caselaw_synthetic_extractive
2,What is the year of the case?,1987,3311,566,caselaw_synthetic_extractive
3,the alleged animus and b[ore] squarely on the contested employment decision.,the alleged acts of discrimination occurred in New York.,16005,2593,caselaw_synthetic_extractive
4,What is the name of the case that applies in this case?,Crawford,19409,3155,caselaw_synthetic_extractive
5,"the Seventh Amendment guarantees the right to a jury trial on this claim, even though a proceeding to recover a preference is deemed “core” under the Bankruptcy Code.","See also Friedman v. Gold Advice, Inc. (In re Fort Lauderdale Hotel Partners, Ltd.), 103 B.R. 335 (Bankr.S.D.Fla.1989).",24259,3978,caselaw_synthetic_extractive
6,528 U.S.,922,30576,5003,caselaw_synthetic_extractive
7,WL 792209,"4th Cir. Nov.16, 1998",30583,5004,caselaw_synthetic_extractive
8,What is the name of the case cited in the passage?,Zeid v. Kimberley,46306,7535,caselaw_synthetic_extractive
9,What is the name of the statute cited in the passage?,8 U.S.C. § 1231(b)(3)(A),46792,7606,caselaw_synthetic_extractive
10,What is the standard for evaluating a judge’s decision to impose sanctions in a bankruptcy case?,Abuse of discretion,61604,10010,caselaw_synthetic_extractive
11,What is the standard for evaluating a judge’s decision not to impose sanctions in a bankruptcy case?,Abuse of discretion,61604,10010,caselaw_synthetic_extractive
12,What is the name of the statute?,Texas Insurance Code section 4102.207,77432,12608,caselaw_synthetic_extractive
13,What is the name of the case?,Lewis v. Davis,78082,12708,caselaw_synthetic_extractive
14,What is the name of the case cited in support of the holding that the Board should terminate an interference once it determines that there is a § 135(b) bar?,Perkins,80422,13117,caselaw_synthetic_extractive
15,"What is the name of the rule that the Court may assume that facts identified by the moving party in its statement of material facts are admitted, unless such a fact is controverted in the statement of genuine issues filed in opposition to the motion?",LCvR 7(h),98066,16026,caselaw_synthetic_extractive
16,Elias v. Ford Motor Co.,734 F.2d 463,107139,17506,caselaw_synthetic_extractive
17,United States v. Dollar Rent A Car Sys.,712 F.2d 938,107348,17544,caselaw_synthetic_extractive
18,What is the rank of the supervising officer required to supervise a strip frisk?,at least the rank of Lieutenant,123511,20142,caselaw_synthetic_extractive
19,What is the basic objective in the area of commercial arbitration agreements?,"to ensure that commercial arbitration agreements, like other contracts, are enforced according to their terms and according to the intentions of the parties",138316,22551,caselaw_synthetic_extractive
20,What is the advisory sentence for a Class D felony in Indiana?,"one-and-one-half years, with a minimum of six months and a maximum of three years",143365,23351,caselaw_synthetic_extractive
21,What is the date of the judgment dismissing Ms. Goren’s complaint?,"September 3, 1997",154195,25104,caselaw_synthetic_extractive
22,What is the name of the case where the West Virginia Supreme Court reached the same result in construing a similar state kidnapping statute?,Pyles v. Boles,155571,25330,caselaw_synthetic_extractive
23,What is the name of the statute that Darren Lamont Dennis was sentenced for violating?,18 U.S.C. § 922(g)(1) (2000),169350,27560,caselaw_synthetic_extractive
24,What is the name of the case that the court cited in support of the rule that a contractor need not pay its sub before making a claim on its behalf?,"George Leary Constr. Co. v. United States, 63 Ct.Cl. 206, 223, 1927 WL 2960 (1927)",170355,27724,caselaw_synthetic_extractive
25,What is the name of the case where it was stated that officers 'owed the duty of frankness and fair dealing as fiduciaries to [stockholders]',Upton v. S. Produce Co.,184036,30014,caselaw_synthetic_extractive
26,What is the name of the Iowa Code section that was enacted in 1984,Iowa Code section 663A.3,185615,30266,caselaw_synthetic_extractive
27,What is the name of the case?,Nat’l Ass’n ng-Pittsburgh Steel Corp.,199362,32501,caselaw_synthetic_extractive
28,What is the section of the statute that creates a civil action for equitable relief?,29 U.S.C. § 1132(a)(3)(B),199788,32570,caselaw_synthetic_extractive
29,What section of the Guidelines was cited?,§ 1B1.3,225594,36800,caselaw_synthetic_extractive
30,What statute was cited in the case?,18 U.S.C. § 1961(1),226162,36888,caselaw_synthetic_extractive
31,"See United States v. Weiner, 578 F.2d 757, 766 (9th Cir.1978) (per curiam);","United States v. Weiner, 578 F.2d 757, 766 (9th Cir.1978) (per curiam);",230448,37566,caselaw_synthetic_extractive
32,See Fed. R.Civ.P. 8(f) (district courts are to construe pleadings so “as to do substantial justice”);,Fed. R.Civ.P. 8(f) (district courts are to construe pleadings so “as to do substantial justice”);,230712,37611,caselaw_synthetic_extractive
33,What is the name of the statute that must be filed by the government to support a § 841(b)(1)(B) statutory enhancement?,21 U.S.C. § 851(a)(1),245926,40098,caselaw_synthetic_extractive
34,What is the name of the case where the court held that the firm waiver rule is inapplicable when pro se litigants are not given explicit notice of the rule?,Nasious v. Two Unknown B.I.C.E. Agents,251312,40976,caselaw_synthetic_extractive
35,What is the name of the case Jordan?,Jordan,260912,42535,caselaw_synthetic_extractive
36,What is the name of the case where the Supreme Court finally decided the issue?,Pace,275778,44987,caselaw_synthetic_extractive
37,What is the name of the statute that provides that the debtor may avoid most judicial liens,11 U.S.C. § 522(f)(1),278974,45526,caselaw_synthetic_extractive
38,What is the name of the policy maintained by defendant Qualex?,a blanket exclusionary policy,291156,47507,caselaw_synthetic_extractive
39,What is the name of the case that adopted a report and recommendation concluding that a statement was puffery?,Am. Italian Pasta Co.,292044,47630,caselaw_synthetic_extractive
40,What is the section of the code that addresses a driver's mandate to drive within a single lane to the extent practicable?,N.J.S.A. 39:4-88(b),309609,50480,caselaw_synthetic_extractive
41,What is the name of the case that held that a sperm donor has no right to visitation and that any agreement granting visitation rights was unenforceable?,O’Dell v. O’Dell,311472,50765,caselaw_synthetic_extractive
