question_id,question,answer,evidence_char_pos,evidence_word_pos,type
1,Where will the heat wave hit?,some parts of south Australia,50,9,newsqa_extractive
2,When was the warning system put into place?,"after a devastating brush fire ravaged the southeastern state of Victoria in February,",269,45,newsqa_extractive
3,What did the fire ravage?,southeastern state of Victoria,312,52,newsqa_extractive
4,Where did a devastating fire ravage in February?,southeastern state of Victoria,312,52,newsqa_extractive
5,When was the devastating fire?,"February,",346,57,newsqa_extractive
6,What number of lives were claimed by the fire?,killing more than 170 people,356,58,newsqa_extractive
7,The fire claimed how many lives?,more than 170,364,59,newsqa_extractive
8,What was the number of homes affected?,"2,000",400,65,newsqa_extractive
9,What temperature did the heat wave reach?,104 F (40 C),1185,187,newsqa_extractive
10,What could happen to children who swallow the beads?,vomit and lose consciousness.,1798,295,newsqa_extractive
11,WHat happens to children who swallow beads?,vomit and lose consciousness.,1798,295,newsqa_extractive
12,what can happen if beads are swallowed by children?,vomit and lose consciousness.,1798,295,newsqa_extractive
13,What can happen to children who swallow beads?,vomit and lose consciousness.,1798,295,newsqa_extractive
14,which is the cause of research in China?,"Aqua Dots toys that contain a chemical that converts into a ""date rape"" drug.",1860,304,newsqa_extractive
15,what are sold as Bindeez beads in Australia and Aqua dots in united states?,"""date rape"" drug.",1920,315,newsqa_extractive
16,Who ordered an investigation?,"the General Administration of Quality Supervision, Inspection, and Quarantine (AQSIQ)",1960,322,newsqa_extractive
17,Who orders investigation by quality control agencies?,General Administration of,1964,323,newsqa_extractive
18,What did China order?,an investigation by quality control agencies,2058,334,newsqa_extractive
19,Who can have seizures?,swallow the beads,2606,416,newsqa_extractive
20,What are aqua dots called in australia?,"under the name ""Bindeez Beads.""",2879,457,newsqa_extractive
21,what is the name of the comapanh who sells the beads,Melbourne-based Moose Enterprise Pty. Ltd.,2954,469,newsqa_extractive
22,Does Hilary Clinton think enough is being done?,"""too little, too late.""",5181,831,newsqa_extractive
23,what did hillary clinton says?,"""too little, too late.""",5181,831,newsqa_extractive
24,What did Clinton say?,"""too little, too late.""",5181,831,newsqa_extractive
25,what did hilary clinton say?,"troop withdrawal ""is simply too little, too late, and unacceptable",5357,859,newsqa_extractive
26,What did senator hillary Clinton say?,"troop withdrawal ""is simply too little, too late, and unacceptable to this Congress, and to the American people who have made clear their strong desire to bring our troops home, and end this war.""",5357,859,newsqa_extractive
27,What does clinton say about the withdrawal of troops?,"""is simply too little, too late, and unacceptable to this Congress,",5374,861,newsqa_extractive
28,What did Hillary Clinton say about withdrawal?,"""is simply too little, too late, and unacceptable to this Congress, and to the American people who have made clear their strong desire to bring our troops home, and end this war.""",5374,861,newsqa_extractive
29,What does Barack Obama have to say about this?,"an earlier, failed policy.",6160,997,newsqa_extractive
30,What did Barack Obama call for?,"an immediate drawdown of combat operations at a pace of one or two brigades every month,",6672,1093,newsqa_extractive
31,what call made barack obama?,"an immediate drawdown of combat operations at a pace of one or two brigades every month,",6672,1093,newsqa_extractive
32,What does Barack Obama call for?,"immediate drawdown of combat operations at a pace of one or two brigades every month, to be completed by the end of next year,",6675,1094,newsqa_extractive
33,What is John Edwards job?,Presidential candidate,7311,1200,newsqa_extractive
34,"Who wants immediate withdrawal of 40,000 plus troops?","John Edwards,",7334,1202,newsqa_extractive
35,Who calls for immediate withdrawal of troops?,"John Edwards,",7334,1202,newsqa_extractive
36,What did John Edwards  call for?,"an immediate withdrawal of 40,000 to 50,000 troops.",7467,1221,newsqa_extractive
37,What did John Edwards call for?,"immediate withdrawal of 40,000 to 50,000 troops.",7470,1222,newsqa_extractive
38,What has edwards called for?,"immediate withdrawal of 40,000 to 50,000 troops.",7470,1222,newsqa_extractive
39,what did john edwars immediate withdrawal?,"of 40,000 to 50,000 troops.",7491,1224,newsqa_extractive
40,John Edwards is withdrawing how many troops?,"40,000 to 50,000",7494,1225,newsqa_extractive
41,Edwards calls for immediate withdrawal of how many troops?,"40,000 to 50,000",7494,1225,newsqa_extractive
42,What did John Edwards say?,"""Sen. Obama would withdraw only one to two combat brigades a month between now and the end of next year,""",7930,1294,newsqa_extractive
43,How many were accused?,Four,9116,1486,newsqa_extractive
44,who pleads not guilty to rape,"Cody Ray Smith,",9278,1512,newsqa_extractive
45,What did Ray plead?,not guilty,9347,1525,newsqa_extractive
46,What did he plead not guilty to ?,charges of rape with a foreign object and rape by force.,9361,1528,newsqa_extractive
47,who does not enter a plea,"Ari Abdallah Morales and Marcelles James Peter,",9444,1542,newsqa_extractive
48,who are the juveniles,Ari Abdallah Morales,9444,1542,newsqa_extractive
49,What did Ortega not have with him?,a protective vest.,9877,1615,newsqa_extractive
50,Where did this take place ?,"Richmond High School campus, in the Richmond community north of Oakland on San Francisco Bay.",9986,1635,newsqa_extractive
51,Who is Femi Kuti?,Nigerian musician,10580,1735,newsqa_extractive
52,Who is the son of Afrobeat pioneer Fela Kuti?,Femi,10598,1737,newsqa_extractive
53,Who inherited his father's passion for music?,Femi Kuti,10598,1737,newsqa_extractive
54,Whose is Femi Kuti son of ?,Fela,10801,1772,newsqa_extractive
55,What passion did Femi Kuti inherit from his father?,zeal for both music and activism.,10840,1778,newsqa_extractive
56,"Except music, what did his father pass on him ?",activism.,10864,1783,newsqa_extractive
57,Where was the nightclub that was recently closed by authorities?,"in Lagos,",11200,1837,newsqa_extractive
58,What was recently closed by authorities?,"New Afrika Shrine,",11214,1840,newsqa_extractive
