genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,3,full_context_rehearsal_lookup_retrieval,True,1624,1,False,18.2,7159,3,7162
wiki,1,full_context_rehearsal_lookup_retrieval,True,1898,1,False,18.2,7165,3,7168
wiki,5,full_context_rehearsal_lookup_retrieval,True,France.,2,True,1.1,9572,9,9581
wiki,2,full_context_rehearsal_lookup_retrieval,True,"8,491,079",2,True,19.2,10514,12,10526
wiki,6,full_context_rehearsal_lookup_retrieval,True,Portuguese,1,False,1.9,7164,4,7168
wiki,4,full_context_rehearsal_lookup_retrieval,False,Wisconsinan glaciation.,2,True,19.9,10452,16,10468
wiki,9,full_context_rehearsal_lookup_retrieval,False,1624,1,False,0.6,7162,3,7165
wiki,8,full_context_rehearsal_lookup_retrieval,False,Juan Rodriguez,1,False,0.9,7160,3,7163
wiki,10,full_context_rehearsal_lookup_retrieval,True,Peter Stuyvesant,1,False,0.6,7162,6,7168
wiki,7,full_context_rehearsal_lookup_retrieval,True,The Dutch East India Company.,2,True,0.8,9564,13,9577
wiki,11,full_context_rehearsal_lookup_retrieval,False,New Amsterdam,1,False,0.4,7164,3,7167
wiki,13,full_context_rehearsal_lookup_retrieval,True,1735,1,False,0.5,7162,3,7165
wiki,15,full_context_rehearsal_lookup_retrieval,False,The Great Irish Famine,1,False,0.8,7162,6,7168
wiki,16,full_context_rehearsal_lookup_retrieval,True,Philadelphia.,1,False,0.5,7167,3,7170
wiki,14,full_context_rehearsal_lookup_retrieval,True,August 1776.,2,True,1.5,10388,12,10400
wiki,17,full_context_rehearsal_lookup_retrieval,True,1827,2,True,0.9,10599,12,10611
wiki,20,full_context_rehearsal_lookup_retrieval,True,1898,1,False,0.4,7164,3,7167
wiki,19,full_context_rehearsal_lookup_retrieval,True,25%,2,True,1.3,10388,24,10412
wiki,21,full_context_rehearsal_lookup_retrieval,True,146,2,True,0.9,10424,8,10432
wiki,22,full_context_rehearsal_lookup_retrieval,True,Megacity,1,False,53.0,7168,3,7171
wiki,18,full_context_rehearsal_lookup_retrieval,True,1825,2,True,54.5,10932,288,11220
wiki,12,full_context_rehearsal_lookup_retrieval,True,The Second Anglo-Dutch War.,2,True,56.2,10971,149,11120
wiki,23,full_context_rehearsal_lookup_retrieval,True,Abstract expressionism,1,False,53.1,7168,4,7172
wiki,24,full_context_rehearsal_lookup_retrieval,True,American Airlines Flight 11.,2,True,1.0,10466,13,10479
wiki,26,full_context_rehearsal_lookup_retrieval,False,No answer available.,2,True,1.2,10510,29,10539
wiki,25,full_context_rehearsal_lookup_retrieval,True,American Airlines Flight 11.,2,True,2.0,10440,13,10453
wiki,30,full_context_rehearsal_lookup_retrieval,False,1652,1,False,0.5,7172,3,7175
wiki,27,full_context_rehearsal_lookup_retrieval,False,"Manhattan, Staten, and Long.",2,True,1.7,10669,18,10687
wiki,29,full_context_rehearsal_lookup_retrieval,True,164.1,2,True,0.6,10721,16,10737
wiki,33,full_context_rehearsal_lookup_retrieval,False,Water towers,1,False,0.3,7172,3,7175
wiki,28,full_context_rehearsal_lookup_retrieval,False,The East River.,2,True,1.3,10341,20,10361
wiki,31,full_context_rehearsal_lookup_retrieval,True,550,2,True,1.3,10969,17,10986
wiki,34,full_context_rehearsal_lookup_retrieval,True,humid continental.,2,True,0.8,10542,29,10571
wiki,35,full_context_rehearsal_lookup_retrieval,True,"July 9, 1936.",2,True,0.8,11070,15,11085
wiki,32,full_context_rehearsal_lookup_retrieval,True,Eagles.,2,True,2.7,10959,329,11288
wiki,39,full_context_rehearsal_lookup_retrieval,True,Grant's Tomb,1,False,0.2,7165,4,7169
wiki,37,full_context_rehearsal_lookup_retrieval,True,Minneapolis.,2,True,49.9,10620,10,10630
wiki,38,full_context_rehearsal_lookup_retrieval,False,"10,521.83 ha",2,True,47.5,10500,22,10522
wiki,36,full_context_rehearsal_lookup_retrieval,False,No information is available.,2,True,47.9,10888,300,11188
wiki,40,full_context_rehearsal_lookup_retrieval,True,"1,093",2,True,53.7,10635,16,10651
wiki,43,full_context_rehearsal_lookup_retrieval,False,Bangladeshi.,2,True,2.3,9687,18,9705
wiki,44,full_context_rehearsal_lookup_retrieval,True,12 million.,2,True,0.6,10577,16,10593
wiki,45,full_context_rehearsal_lookup_retrieval,True,"over 74,000",2,True,0.8,9542,12,9554
wiki,47,full_context_rehearsal_lookup_retrieval,False,Jamaica,1,False,0.6,7167,4,7171
wiki,48,full_context_rehearsal_lookup_retrieval,True,"568,903",1,False,0.5,7163,4,7167
wiki,46,full_context_rehearsal_lookup_retrieval,True,"65,000.",2,True,1.0,10359,11,10370
wiki,49,full_context_rehearsal_lookup_retrieval,True,Judaism.,2,True,0.6,10013,17,10030
wiki,50,full_context_rehearsal_lookup_retrieval,True,"$2,749.",2,True,1.1,10964,18,10982
