genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,3,hybrid_gistselect_rawanswer,True,1624,1,,0.5,5835,3,5838
wiki,2,hybrid_gistselect_rawanswer,True,"8,491,079.",1,,0.3,4869,7,4876
wiki,1,hybrid_gistselect_rawanswer,True,1898,1,,0.4,7610,3,7613
wiki,4,hybrid_gistselect_rawanswer,False,Wisconsinan glaciation.,1,,0.5,7415,7,7422
wiki,5,hybrid_gistselect_rawanswer,True,France.,1,,0.5,1150,3,1153
wiki,8,hybrid_gistselect_rawanswer,True,Jan Rodrigues.,1,,0.4,1147,5,1152
wiki,6,hybrid_gistselect_rawanswer,True,Portuguese,1,,0.7,1151,4,1155
wiki,7,hybrid_gistselect_rawanswer,True,The Dutch East India Company.,1,,0.3,1146,7,1153
wiki,11,hybrid_gistselect_rawanswer,True,New Orange,1,,0.3,2540,3,2543
wiki,10,hybrid_gistselect_rawanswer,True,Peter Stuyvesant,1,,0.5,2538,6,2544
wiki,9,hybrid_gistselect_rawanswer,True,1625,1,,0.2,2538,3,2541
wiki,13,hybrid_gistselect_rawanswer,True,1735,1,,0.3,1503,3,1506
wiki,14,hybrid_gistselect_rawanswer,False,I don't have that information.,1,,0.3,1734,8,1742
wiki,12,hybrid_gistselect_rawanswer,False,There is no information about England gaining New York in exchange for an Indonesian island.,1,,0.4,3223,17,3240
wiki,15,hybrid_gistselect_rawanswer,False,The Great Irish Famine.,1,,0.3,994,7,1001
wiki,18,hybrid_gistselect_rawanswer,True,1825,1,,0.3,3863,3,3866
wiki,16,hybrid_gistselect_rawanswer,True,Philadelphia.,1,,0.5,7064,3,7067
wiki,19,hybrid_gistselect_rawanswer,True,25%,1,,0.2,1001,3,1004
wiki,17,hybrid_gistselect_rawanswer,False,No information provided.,1,,0.2,1733,5,1738
wiki,20,hybrid_gistselect_rawanswer,True,1898,1,,0.3,7291,3,7294
wiki,21,hybrid_gistselect_rawanswer,False,No information is given about the Triangle Shirtwaist Factory fire.,1,,0.3,1918,14,1932
wiki,23,hybrid_gistselect_rawanswer,True,Abstract expressionism.,1,,0.3,4871,5,4876
wiki,22,hybrid_gistselect_rawanswer,True,Megacity.,1,,0.3,4871,4,4875
wiki,25,hybrid_gistselect_rawanswer,False,There is no mention of a plane crash in the provided passage.,1,,0.3,1944,14,1958
wiki,24,hybrid_gistselect_rawanswer,False,There is no information about an aircraft crashing into the World Trade Center in the provided passage.,1,,0.4,1766,19,1785
wiki,26,hybrid_gistselect_rawanswer,True,Donald Trump.,1,,0.5,7672,4,7676
wiki,27,hybrid_gistselect_rawanswer,True,"Long Island, Manhattan, and Staten Island.",1,,0.3,7308,10,7318
wiki,30,hybrid_gistselect_rawanswer,False,1652,1,,0.2,2548,3,2551
wiki,29,hybrid_gistselect_rawanswer,True,164.1,1,,0.3,5364,4,5368
wiki,28,hybrid_gistselect_rawanswer,True,The Harlem River.,1,,0.3,1594,5,1599
wiki,32,hybrid_gistselect_rawanswer,False,"No answer, as the passage does not mention the Chrysler Building or any animal decorating it.",1,,51.9,1668,19,1687
