threshold,genre,question_id,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
0.75,wiki,1,True,1898.,2,True,3.8,8177,10,8187
0.75,wiki,5,True,France,1,False,3.5,7175,2,7177
0.75,wiki,3,True,1624,2,True,8.4,10640,18,10658
0.75,wiki,2,True,"8,491,079.",2,True,9.0,14710,142,14852
0.75,wiki,6,True,Portuguese,1,False,3.6,7176,4,7180
0.75,wiki,4,False,Wisconsinan glaciation.,2,True,11.0,8281,16,8297
0.75,wiki,8,True,Jan Rodrigues.,2,True,6.3,8098,11,8109
0.75,wiki,9,True,1625,2,True,4.7,8456,9,8465
0.75,wiki,7,True,The Dutch East India Company.,2,True,8.1,7834,13,7847
0.75,news,2,False,An Australian soldier.,1,False,3.4,24455,5,24460
0.75,wiki,10,True,Peter Stuyvesant.,2,True,11.8,8068,13,8081
0.75,news,5,False,AC Milan.,2,True,4.4,31572,211,31783
0.75,news,6,False,73rd,1,False,2.4,24455,3,24458
0.75,news,1,False,"Civilians, 2 women and a child, and 7 U.S. military personnel.",2,True,14.2,31752,594,32346
0.75,news,4,False,Yes.,1,False,11.8,24457,3,24460
0.75,news,3,False,Michio Kanda.,2,True,19.4,25706,12,25718
0.75,news,9,False,Colonoscopy.,2,True,29.7,26435,20,26455
0.75,news,10,False,Saturday,1,False,25.1,24459,2,24461
0.75,news,7,False,Heineken.,2,True,30.1,25154,11,25165
0.75,novel,00950a36_0,True,Shah Amurath,1,False,3.3,30316,6,30322
0.75,novel,00950a36_2,False,SHAH AMURATH,1,False,8.4,30313,6,30319
0.75,novel,00950a36_5,False,She.,2,True,5.9,31323,9,31332
0.75,news,8,True,Gulder Ultimate Search.,2,True,42.8,25419,13,25432
0.75,novel,00950a36_7,False,Robert Herrick,1,False,3.7,30317,4,30321
0.75,novel,00950a36_9,False,The ruins.,1,False,3.0,30308,4,30312
0.75,novel,00950a36_6,False,No one.,2,True,7.6,31333,10,31343
0.75,novel,00950a36_10,False,Shah Amurath,1,False,5.2,30311,6,30317
0.75,novel,00950a36_11,False,No one.,2,True,5.4,33492,10,33502
0.75,caselaw,1,True,1,1,False,3.2,24729,2,24731
0.75,caselaw,3,True,5,1,False,2.9,24653,2,24655
0.75,caselaw,5,False,5,1,False,4.1,24817,2,24819
