genre,question_id,condition,correct,prediction,api_calls,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,3,chunked_sequential_rehearsal,True,1624,3,0.7,1106,9,1115
wiki,7,chunked_sequential_rehearsal,True,The Dutch East India Company.,4,1.2,1779,16,1795
wiki,8,chunked_sequential_rehearsal,False,Hans,3,1.2,1109,9,1118
wiki,2,chunked_sequential_rehearsal,False,8.4 million,4,1.4,1807,14,1821
wiki,1,chunked_sequential_rehearsal,True,1898,4,1.4,1803,12,1815
wiki,6,chunked_sequential_rehearsal,True,Portuguese.,4,1.6,1799,14,1813
wiki,4,chunked_sequential_rehearsal,False,Pleistocene,4,60.3,1851,14,1865
wiki,5,chunked_sequential_rehearsal,True,France,4,60.4,1795,11,1806
wiki,9,chunked_sequential_rehearsal,False,1626,3,59.7,1115,9,1124
wiki,10,chunked_sequential_rehearsal,True,Peter Stuyvesant,3,59.6,1115,12,1127
wiki,11,chunked_sequential_rehearsal,False,New Amsterdam,3,59.8,1121,9,1130
wiki,15,chunked_sequential_rehearsal,False,9/11,3,0.7,1115,10,1125
wiki,13,chunked_sequential_rehearsal,False,1712,4,60.1,1791,12,1803
wiki,17,chunked_sequential_rehearsal,True,1827,4,59.9,1799,12,1811
wiki,12,chunked_sequential_rehearsal,False,Anglo-Dutch War,4,119.0,1819,15,1834
wiki,14,chunked_sequential_rehearsal,True,August 1776,4,119.0,1803,14,1817
wiki,18,chunked_sequential_rehearsal,True,1825,4,59.9,1795,12,1807
wiki,22,chunked_sequential_rehearsal,True,Megacity,1,0.4,257,3,260
wiki,20,chunked_sequential_rehearsal,False,1624,3,59.9,1121,9,1130
wiki,16,chunked_sequential_rehearsal,True,Philadelphia,4,60.5,1811,11,1822
wiki,21,chunked_sequential_rehearsal,False,No answer found,4,59.7,1803,13,1816
wiki,19,chunked_sequential_rehearsal,False,No information about German immigrants in 1860.,4,60.5,1819,20,1839
wiki,23,chunked_sequential_rehearsal,True,Abstract Expressionism,4,60.3,1815,13,1828
wiki,27,chunked_sequential_rehearsal,False,"Manhattan, Staten, Liberty",3,59.9,1124,13,1137
wiki,25,chunked_sequential_rehearsal,False,,4,60.5,1803,12,1815
wiki,24,chunked_sequential_rehearsal,True,American Airlines Flight 11,4,60.6,1855,15,1870
wiki,26,chunked_sequential_rehearsal,True,Donald Trump,4,60.7,1799,12,1811
