genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,3,full_context_rehearsal_lookup_adaptive,True,1624,1,False,0.4,7159,3,7162
wiki,1,full_context_rehearsal_lookup_adaptive,True,1898,1,False,0.5,7165,3,7168
wiki,2,full_context_rehearsal_lookup_adaptive,True,"8,491,079.",2,True,0.8,8755,19,8774
wiki,5,full_context_rehearsal_lookup_adaptive,True,France.,2,True,0.7,8001,9,8010
wiki,6,full_context_rehearsal_lookup_adaptive,True,Portuguese,2,True,0.8,8003,10,8013
wiki,4,full_context_rehearsal_lookup_adaptive,False,Wisconsinan glaciation.,2,True,1.1,7985,13,7998
wiki,9,full_context_rehearsal_lookup_adaptive,False,1624,1,False,0.4,7162,3,7165
wiki,8,full_context_rehearsal_lookup_adaptive,False,Juan Rodriguez,1,False,0.4,7160,3,7163
wiki,10,full_context_rehearsal_lookup_adaptive,True,Peter Stuyvesant,1,False,0.5,7162,6,7168
wiki,11,full_context_rehearsal_lookup_adaptive,False,New Amsterdam,1,False,0.4,7164,3,7167
wiki,13,full_context_rehearsal_lookup_adaptive,True,1735,1,False,0.4,7162,3,7165
wiki,7,full_context_rehearsal_lookup_adaptive,True,The Dutch East India Company.,2,True,0.8,7974,13,7987
wiki,15,full_context_rehearsal_lookup_adaptive,False,The Great Irish Famine,1,False,0.4,7162,6,7168
wiki,16,full_context_rehearsal_lookup_adaptive,True,Philadelphia.,1,False,0.5,7167,3,7170
wiki,14,full_context_rehearsal_lookup_adaptive,True,August 1776.,2,True,0.8,7913,12,7925
wiki,18,full_context_rehearsal_lookup_adaptive,True,1825,2,True,0.8,8116,9,8125
wiki,17,full_context_rehearsal_lookup_adaptive,True,1827,2,True,1.1,8502,12,8514
wiki,19,full_context_rehearsal_lookup_adaptive,True,25%,2,True,0.8,9838,18,9856
wiki,20,full_context_rehearsal_lookup_adaptive,True,1898,1,False,0.4,7164,3,7167
wiki,12,full_context_rehearsal_lookup_adaptive,True,The Second Anglo-Dutch War.,2,True,5.2,14588,158,14746
news,2,full_context_rehearsal_lookup_adaptive,False,An Australian soldier.,1,False,53.0,25072,5,25077
news,4,full_context_rehearsal_lookup_adaptive,False,Yes.,2,True,53.4,25954,9,25963
news,5,full_context_rehearsal_lookup_adaptive,False,AC Milan.,2,True,0.6,25965,10,25975
news,7,full_context_rehearsal_lookup_adaptive,False,Heineken.,2,True,1.3,25771,11,25782
news,8,full_context_rehearsal_lookup_adaptive,True,Gulder Ultimate Search.,2,True,0.9,25765,13,25778
news,9,full_context_rehearsal_lookup_adaptive,False,Routine colonoscopy.,2,True,0.9,26017,12,26029
news,3,full_context_rehearsal_lookup_adaptive,False,Michio Kanda.,2,True,60.9,32275,1179,33454
