genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,3,full_context_rehearsal_lookup_retrieval_pergenre,True,1624,1.0,False,1.5,7159.0,3.0,7162.0
wiki,1,full_context_rehearsal_lookup_retrieval_pergenre,True,1898,1.0,False,1.5,7165.0,3.0,7168.0
wiki,6,full_context_rehearsal_lookup_retrieval_pergenre,True,Portuguese,2.0,True,1.1,10460.0,10.0,10470.0
wiki,4,full_context_rehearsal_lookup_retrieval_pergenre,False,Wisconsinan glaciation.,2.0,True,2.7,10452.0,13.0,10465.0
wiki,2,full_context_rehearsal_lookup_retrieval_pergenre,True,"8,491,079",2.0,True,2.4,10514.0,18.0,10532.0
wiki,5,full_context_rehearsal_lookup_retrieval_pergenre,True,France.,2.0,True,1.1,9572.0,9.0,9581.0
wiki,8,full_context_rehearsal_lookup_retrieval_pergenre,False,Juan Rodriguez,1.0,False,0.5,7160.0,3.0,7163.0
wiki,9,full_context_rehearsal_lookup_retrieval_pergenre,False,1624,1.0,False,0.5,7162.0,3.0,7165.0
wiki,11,full_context_rehearsal_lookup_retrieval_pergenre,False,New Amsterdam,1.0,False,0.4,7164.0,3.0,7167.0
wiki,10,full_context_rehearsal_lookup_retrieval_pergenre,True,Peter Stuyvesant,1.0,False,0.8,7162.0,6.0,7168.0
wiki,13,full_context_rehearsal_lookup_retrieval_pergenre,True,1735,1.0,False,0.7,7162.0,3.0,7165.0
wiki,7,full_context_rehearsal_lookup_retrieval_pergenre,True,The Dutch East India Company.,2.0,True,1.3,9564.0,13.0,9577.0
wiki,15,full_context_rehearsal_lookup_retrieval_pergenre,False,The Great Irish Famine,1.0,False,0.5,7162.0,6.0,7168.0
wiki,16,full_context_rehearsal_lookup_retrieval_pergenre,True,Philadelphia.,1.0,False,0.5,7167.0,3.0,7170.0
wiki,14,full_context_rehearsal_lookup_retrieval_pergenre,True,August 1776.,2.0,True,1.6,10388.0,12.0,10400.0
wiki,17,full_context_rehearsal_lookup_retrieval_pergenre,True,1827,2.0,True,1.2,10599.0,12.0,10611.0
wiki,20,full_context_rehearsal_lookup_retrieval_pergenre,True,1898,1.0,False,0.5,7164.0,3.0,7167.0
wiki,18,full_context_rehearsal_lookup_retrieval_pergenre,True,1825,2.0,True,1.6,10597.0,9.0,10606.0
wiki,19,full_context_rehearsal_lookup_retrieval_pergenre,True,25%,2.0,True,1.3,9938.0,15.0,9953.0
wiki,12,full_context_rehearsal_lookup_retrieval_pergenre,True,The Second Anglo-Dutch War.,2.0,True,7.1,10971.0,140.0,11111.0
news,2,full_context_rehearsal_lookup_retrieval_pergenre,False,An Australian soldier.,1.0,False,49.2,25072.0,5.0,25077.0
news,4,full_context_rehearsal_lookup_retrieval_pergenre,False,Yes.,2.0,True,49.5,27854.0,9.0,27863.0
