genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,1,full_context_rehearsal_lookup,True,1898,1,False,0.8,7165,3,7168
wiki,3,full_context_rehearsal_lookup,True,1624,1,False,0.8,7159,3,7162
wiki,2,full_context_rehearsal_lookup,False,No information provided.,2,True,0.8,8220,11,8231
wiki,4,full_context_rehearsal_lookup,False,No information.,2,True,0.9,8155,13,8168
wiki,6,full_context_rehearsal_lookup,True,Portuguese,1,False,0.3,7164,4,7168
wiki,8,full_context_rehearsal_lookup,False,Juan Rodriguez,1,False,0.4,7160,3,7163
wiki,7,full_context_rehearsal_lookup,False,No information provided.,2,True,0.5,8119,11,8130
wiki,9,full_context_rehearsal_lookup,False,1624,1,False,0.2,7162,3,7165
wiki,5,full_context_rehearsal_lookup,False,There is no information about Giovanni da Verrazzano in the passage.,2,True,0.5,8127,22,8149
wiki,10,full_context_rehearsal_lookup,True,Peter Stuyvesant,1,False,0.3,7162,6,7168
wiki,13,full_context_rehearsal_lookup,True,1735,1,False,0.3,7162,3,7165
wiki,11,full_context_rehearsal_lookup,False,New Amsterdam,1,False,0.4,7164,3,7167
wiki,15,full_context_rehearsal_lookup,False,The Great Irish Famine,1,False,0.3,7162,6,7168
wiki,16,full_context_rehearsal_lookup,True,Philadelphia.,1,False,0.4,7167,3,7170
wiki,14,full_context_rehearsal_lookup,True,August 1776.,2,True,0.7,8396,12,8408
wiki,17,full_context_rehearsal_lookup,True,1827,2,True,0.7,8901,12,8913
wiki,20,full_context_rehearsal_lookup,True,1898,1,False,0.3,7164,3,7167
wiki,18,full_context_rehearsal_lookup,False,There is no information about the Erie Canal in the passage.,2,True,0.8,8392,19,8411
wiki,19,full_context_rehearsal_lookup,True,25%,2,True,1.7,10388,30,10418
wiki,12,full_context_rehearsal_lookup,True,The Second Anglo-Dutch War.,2,True,5.1,10971,170,11141
news,1,full_context_rehearsal_lookup,False,"Civilians, Taliban militants, and 60 others wounded.",2,True,54.0,28383,1187,29570
news,4,full_context_rehearsal_lookup,False,Yes.,2,True,54.6,25896,9,25905
news,2,full_context_rehearsal_lookup,False,An Australian soldier.,1,False,54.6,25072,5,25077
news,5,full_context_rehearsal_lookup,False,No information.,2,True,1.0,26055,10,26065
news,7,full_context_rehearsal_lookup,False,Guinness,1,False,0.3,25077,3,25080
news,3,full_context_rehearsal_lookup,False,Michio Kanda.,2,True,55.2,27307,39,27346
news,6,full_context_rehearsal_lookup,False,There is no information about Messi in the passage.,2,True,0.7,25795,17,25812
news,10,full_context_rehearsal_lookup,False,Saturday,1,False,0.3,25076,2,25078
news,8,full_context_rehearsal_lookup,False,There is no information about Heineken sponsoring a program in the given passage.,2,True,0.9,25799,23,25822
news,9,full_context_rehearsal_lookup,False,Resignation.,1,False,1.1,25083,5,25088
news,12,full_context_rehearsal_lookup,False,Farouki.,2,True,0.7,26194,11,26205
news,15,full_context_rehearsal_lookup,True,Assistant Attorney General Alice Fisher.,2,True,0.6,26833,16,26849
news,11,full_context_rehearsal_lookup,False,Afghanistan.,2,True,1.5,27045,38,27083
