genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,4,maintenance_threaded_nomerge,False,Wisconsinan glaciation.,1,,0.2,289,7,296
wiki,1,maintenance_threaded_nomerge,True,1898,1,,0.3,1955,3,1958
wiki,3,maintenance_threaded_nomerge,False,1785,1,,0.3,1805,3,1808
wiki,2,maintenance_threaded_nomerge,True,"8,491,079",1,,0.5,4212,6,4218
wiki,6,maintenance_threaded_nomerge,True,Portuguese,1,,0.5,981,4,985
wiki,5,maintenance_threaded_nomerge,True,France.,1,,0.3,980,3,983
wiki,7,maintenance_threaded_nomerge,True,The Dutch East India Company.,1,,0.4,976,7,983
wiki,8,maintenance_threaded_nomerge,True,Jan Rodrigues.,1,,0.5,977,5,982
wiki,9,maintenance_threaded_nomerge,True,1625,1,,0.2,1131,3,1134
wiki,10,maintenance_threaded_nomerge,True,Peter Stuyvesant.,1,,0.4,1443,7,1450
wiki,13,maintenance_threaded_nomerge,True,1735,1,,0.3,578,3,581
wiki,11,maintenance_threaded_nomerge,True,New Orange,1,,0.4,1445,3,1448
wiki,12,maintenance_threaded_nomerge,False,No information.,1,,0.6,1815,4,1819
wiki,16,maintenance_threaded_nomerge,True,Philadelphia.,1,,0.3,3019,3,3022
wiki,14,maintenance_threaded_nomerge,True,August 1776.,1,,0.5,581,6,587
wiki,17,maintenance_threaded_nomerge,True,1827,1,,0.3,4542,3,4545
wiki,19,maintenance_threaded_nomerge,True,25%,1,,0.2,1469,3,1472
wiki,15,maintenance_threaded_nomerge,True,The Great Fire of New York.,1,,0.3,889,8,897
wiki,18,maintenance_threaded_nomerge,True,1825,1,,0.6,1185,3,1188
wiki,20,maintenance_threaded_nomerge,True,1898,1,,0.3,1810,3,1813
wiki,22,maintenance_threaded_nomerge,False,Metropolitan area.,1,,0.8,2448,5,2453
wiki,24,maintenance_threaded_nomerge,True,American Airlines Flight 11.,1,,0.6,432,7,439
wiki,23,maintenance_threaded_nomerge,True,Abstract expressionism.,1,,0.6,562,5,567
wiki,25,maintenance_threaded_nomerge,True,American Airlines Flight 11.,1,,0.4,419,7,426
wiki,27,maintenance_threaded_nomerge,False,"Long Island, Staten Island, and Manhattan.",1,,0.3,3122,10,3132
wiki,26,maintenance_threaded_nomerge,False,No information.,1,,0.5,2155,4,2159
wiki,21,maintenance_threaded_nomerge,False,"(I don't have information about the Triangle Shirtwaist Factory fire in the passage. However, I can tell you that the passage does not mention the Triangle Shirtwaist Factory fire at all.)

If you would like to ask a different question, I can try to answer it based on the passage.",1,,2.6,419,61,480
wiki,28,maintenance_threaded_nomerge,False,Harlem River.,1,,0.5,950,5,955
