window,cap,genre,question_id,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
2,5,wiki,3,True,1624,1.0,False,0.5,7159.0,3.0,7162.0
2,5,wiki,1,True,1898,1.0,False,0.7,7165.0,3.0,7168.0
2,5,wiki,2,False,No information is available.,2.0,True,0.8,8220.0,15.0,8235.0
2,5,wiki,4,False,No information.,2.0,True,0.8,8155.0,10.0,8165.0
2,5,wiki,8,False,Juan Rodriguez,1.0,False,0.5,7160.0,3.0,7163.0
2,5,wiki,7,False,No information.,2.0,True,0.8,8119.0,10.0,8129.0
2,5,wiki,5,False,There is no information about Giovanni da Verrazzano in the passage.,2.0,True,1.2,8127.0,22.0,8149.0
2,5,wiki,6,False,I don't have information about Estêvão Gomes.,2.0,True,1.4,8129.0,20.0,8149.0
2,5,wiki,10,True,Peter Stuyvesant,1.0,False,0.5,7162.0,6.0,7168.0
2,5,wiki,9,False,I don't have information about the construction of Fort Amsterdam.,2.0,True,0.9,8125.0,19.0,8144.0
2,5,news,2,False,An Australian soldier.,1.0,False,1.1,25072.0,5.0,25077.0
2,5,news,4,False,Yes.,2.0,True,1.5,25896.0,9.0,25905.0
2,5,news,3,False,No information is given about a flight from Japan to the U.S.,2.0,True,1.7,26025.0,21.0,26046.0
2,5,news,7,False,Guinness,1.0,False,1.4,25077.0,3.0,25080.0
2,5,news,6,False,There is no information about Messi in the passage.,2.0,True,1.9,25795.0,17.0,25812.0
2,5,news,8,False,No information.,2.0,True,0.8,25799.0,10.0,25809.0
2,5,news,9,False,Tony Snow's resignation.,2.0,True,0.8,26241.0,12.0,26253.0
2,5,news,5,False,No information.,2.0,True,64.9,26055.0,10.0,26065.0
2,5,news,10,False,Saturday,1.0,False,62.3,25076.0,2.0,25078.0
2,5,news,1,False,"Taliban militants, 2 women, 1 child.",2.0,True,67.3,25992.0,1187.0,27179.0
2,5,novel,00950a36_0,True,Shah Amurath,1.0,False,62.6,30311.0,6.0,30317.0
2,5,novel,00950a36_1,True,Olivia.,1.0,False,1.3,30307.0,4.0,30311.0
2,5,novel,00950a36_2,True,Akif,2.0,True,2.1,31154.0,21.0,31175.0
2,5,novel,00950a36_6,False,Dorothy,1.0,False,1.5,30306.0,4.0,30310.0
