genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,4,maintenance_extractive_r50,False,Wisconsinan glaciation.,1,,0.2,242,7,249
wiki,3,maintenance_extractive_r50,True,1624.,1,,0.2,210,4,214
wiki,1,maintenance_extractive_r50,False,I don't have that information.,1,,0.2,260,8,268
wiki,2,maintenance_extractive_r50,True,"8,491,079.",1,,0.2,455,7,462
wiki,5,maintenance_extractive_r50,False,The French crown.,1,,0.2,281,5,286
wiki,6,maintenance_extractive_r50,True,Portuguese,1,,0.2,282,4,286
wiki,7,maintenance_extractive_r50,True,Dutch East India Company.,1,,0.2,256,7,263
wiki,8,maintenance_extractive_r50,True,Jan Rodrigues.,1,,0.4,305,5,310
wiki,11,maintenance_extractive_r50,True,New Orange.,1,,0.2,273,4,277
wiki,10,maintenance_extractive_r50,True,Peter Stuyvesant.,1,,0.2,271,7,278
wiki,9,maintenance_extractive_r50,False,I don't have the information.,1,,0.5,307,8,315
wiki,12,maintenance_extractive_r50,True,The Second Anglo-Dutch War.,1,,0.2,278,8,286
wiki,13,maintenance_extractive_r50,False,I don't have information about John Peter Zenger's trial in the passage.,1,,0.3,272,17,289
wiki,15,maintenance_extractive_r50,True,The Great Fire of New York.,1,,0.2,262,8,270
wiki,14,maintenance_extractive_r50,True,August 1776.,1,,0.4,275,6,281
wiki,16,maintenance_extractive_r50,False,No information is available to answer this question.,1,,0.2,366,10,376
wiki,17,maintenance_extractive_r50,False,1799,1,,0.4,211,3,214
wiki,19,maintenance_extractive_r50,False,No information.,1,,0.2,202,4,206
wiki,18,maintenance_extractive_r50,False,No information provided.,1,,0.4,232,5,237
wiki,20,maintenance_extractive_r50,True,1898.,1,,0.3,352,4,356
wiki,21,maintenance_extractive_r50,True,146 garment workers.,1,,0.2,254,5,259
wiki,23,maintenance_extractive_r50,True,Abstract expressionism.,1,,0.3,255,5,260
wiki,22,maintenance_extractive_r50,True,Megacity.,1,,0.2,554,4,558
wiki,25,maintenance_extractive_r50,True,American Airlines Flight 11.,1,,0.2,230,7,237
wiki,26,maintenance_extractive_r50,True,Donald Trump.,1,,0.2,244,4,248
wiki,24,maintenance_extractive_r50,True,American Airlines Flight 11.,1,,0.2,243,7,250
wiki,28,maintenance_extractive_r50,False,The East River.,1,,0.2,181,5,186
wiki,27,maintenance_extractive_r50,False,"Manhattan, Staten, and Long.",1,,0.2,518,9,527
wiki,30,maintenance_extractive_r50,True,1656,1,,0.2,266,3,269
wiki,29,maintenance_extractive_r50,False,"468.9 - 1,214 km2 conversion is not provided.",1,,0.3,237,16,253
wiki,34,maintenance_extractive_r50,False,Not specified.,1,,53.8,221,4,225
wiki,31,maintenance_extractive_r50,True,550,1,,54.3,261,2,263
wiki,33,maintenance_extractive_r50,True,Wooden roof-mounted water towers.,1,,53.9,368,8,376
wiki,32,maintenance_extractive_r50,False,There is no mention of an animal decorating the Chrysler Building.,1,,54.3,239,13,252
wiki,35,maintenance_extractive_r50,True,"July 9, 1936.",1,,0.2,254,9,263
wiki,36,maintenance_extractive_r50,True,49.9 inches.,1,,0.3,234,6,240
wiki,38,maintenance_extractive_r50,False,"26,000 acres.",1,,0.2,230,6,236
wiki,37,maintenance_extractive_r50,True,Minneapolis.,1,,0.3,232,4,236
wiki,39,maintenance_extractive_r50,False,I don't have that information.,1,,0.2,197,8,205
wiki,40,maintenance_extractive_r50,True,"1,093 ha.",1,,0.2,206,6,212
wiki,41,maintenance_extractive_r50,False,New York City Recruiting Battalion.,1,,0.2,203,8,211
wiki,42,maintenance_extractive_r50,False,Not provided.,1,,0.2,410,4,414
wiki,44,maintenance_extractive_r50,True,12 million.,1,,0.2,342,4,346
wiki,43,maintenance_extractive_r50,False,Bangladeshi.,1,,0.2,756,6,762
wiki,45,maintenance_extractive_r50,True,"Over 74,000.",1,,0.2,232,7,239
wiki,46,maintenance_extractive_r50,True,"65,000.",1,,0.4,254,5,259
wiki,47,maintenance_extractive_r50,False,Dominican Republic,1,,0.3,545,4,549
wiki,49,maintenance_extractive_r50,True,Judaism.,1,,0.2,236,5,241
wiki,48,maintenance_extractive_r50,True,"568,903.",1,,0.2,236,5,241
wiki,50,maintenance_extractive_r50,True,"$2,749",1,,0.3,250,5,255
wiki,51,maintenance_extractive_r50,True,"$15,887/m²",1,,0.3,286,7,293
wiki,53,maintenance_extractive_r50,True,Chocolate.,1,,0.2,379,3,382
wiki,52,maintenance_extractive_r50,True,"180,000.",1,,0.4,450,5,455
wiki,55,maintenance_extractive_r50,True,Over 500 million square feet.,1,,0.2,268,8,276
wiki,56,maintenance_extractive_r50,True,Roosevelt Island.,1,,0.3,278,6,284
wiki,54,maintenance_extractive_r50,True,$40 billion,1,,0.3,171,4,175
wiki,57,maintenance_extractive_r50,True,56.4 million.,1,,0.4,355,6,361
wiki,58,maintenance_extractive_r50,True,I Love New York,1,,0.2,251,5,256
wiki,59,maintenance_extractive_r50,True,Summerstage.,1,,0.2,447,4,451
wiki,60,maintenance_extractive_r50,True,Anbang Insurance Group.,1,,0.2,308,6,314
wiki,61,maintenance_extractive_r50,True,"25,000",1,,54.3,251,4,255
wiki,63,maintenance_extractive_r50,True,Manhattan Neighborhood Network.,1,,54.0,229,6,235
wiki,64,maintenance_extractive_r50,True,WNYC.,1,,54.0,227,5,232
wiki,62,maintenance_extractive_r50,True,The Wall Street Journal and The New York Times.,1,,54.5,250,11,261
wiki,65,maintenance_extractive_r50,False,None mentioned.,1,,0.2,237,4,241
wiki,66,maintenance_extractive_r50,False,No information provided.,1,,0.2,253,5,258
wiki,68,maintenance_extractive_r50,True,"Ramanathan Raju, MD.",1,,0.3,202,9,211
wiki,67,maintenance_extractive_r50,True,1.4 million.,1,,0.3,493,6,499
wiki,69,maintenance_extractive_r50,True,"Over 35,000.",1,,0.4,204,7,211
wiki,70,maintenance_extractive_r50,True,95.9%,1,,0.3,259,5,264
